date,ivory_coast,united_kingdom,russia,slovakia,syria,vietnam,united_states,regions,ecuador,egypt,el_salvador,equatorial_guinea,eritrea,estonia,eswatini,ethiopia,fiji,finland,france,french_polynesia,gabon,gambia,georgia,germany,ghana,greece,guatemala,guinea,guinea_bissau,guyana,haiti,honduras,hong_kong,hungary,iceland,india,indonesia,iran,iraq,ireland,israel,italy,jamaica,japan,jordan,kazakhstan,kenya,south_korea,kuwait,kyrgyzstan,laos,latvia,lebanon,lesotho,liberia,libya,lithuania,luxembourg,macao,madagascar,malawi,malaysia,maldives,mali,malta,mauritania,mauritius,mexico,moldova,mongolia,montenegro,morocco,mozambique,myanmar,namibia,nepal,netherlands,new_caledonia,new_zealand,nicaragua,niger,nigeria,north_macedonia,norway,oman,pakistan,panama,papua_new_guinea,paraguay,peru,philippines,poland,portugal,puerto_rico,qatar,romania,rwanda,samoa,sao_tome_and_principe,saudi_arabia,senegal,serbia,sierra_leone,singapore,slovenia,solomon_islands,somalia,south_africa,spain,sri_lanka,st_lucia,st_vincent_and_the_grenadines,sudan,suriname,sweden,switzerland,tajikistan,tanzania,thailand,timor_leste,togo,tonga,trinidad_and_tobago,tunisia,turkey,turkmenistan,uganda,ukraine,united_arab_emirates,uruguay,uzbekistan,vanuatu,venezuela,west_bank_and_gaza,yemen,zambia,zimbabwe,djibouti,dominican_republic,bahamas,chad,central_african_republic,regions_patch,afghanistan,albania,algeria,angola,argentina,armenia,australia,austria,azerbaijan,bahrain,bangladesh,barbados,belarus,belgium,belize,benin,bhutan,bolivia,bosnia_and_herzegovina,botswana,brazil,brunei,bulgaria,burkina_faso,burundi,cabo_verde,cambodia,cameroon,canada,chile,china,colombia,comoros,congo_democratic_republic,congo_republic,costa_rica,croatia,cuba,cyprus,czechia,denmark
1991-01-01,69.01486,1.9038328,15.688055,7.653453,22.037933,68.58849,9.437427,15.439707,72.77029,22.682491,55.20244,9.67742,,0.0,66.233765,89.49545,,22.758942,13.509705,,71.77665,,57.13516,3.4651263,100.0,8.853832,79.61075,,,,70.94017,98.55073,0.0,0.6474652,93.54695,23.053822,17.747725,11.003337,4.324844,6.3638763,0.027888816,20.560284,4.524034,11.911347,0.18796992,8.373651,80.66395,4.2109213,0.0,63.97405,,58.026222,18.666666,,,0.0,1.1511085,56.39576,,69.565216,,16.601385,,,0.0,,8.868145,16.998009,2.319245,0.0,,13.318849,67.85714,46.320507,95.176384,96.56652,0.13981502,,68.05196,22.362309,,41.8649,14.696707,99.61355,0.0,44.558865,72.97491,,99.90801,79.35368,20.059261,2.5320308,30.71773,,0.0,25.681742,100.0,,,0.0,0.0,26.71065,,0.0,28.311361,,,2.2481523,18.159704,92.27125,,,62.492474,,43.19113,57.391186,93.27191,94.731064,9.138188,,68.19788,,0.0,1.8242123,37.65063,0.021122297,97.4148,4.279414,0.0,87.09034,11.134497,,70.3254,,0.0,99.28153,35.320484,,13.016688,,,,24.691624,,92.14249,1.6892476,82.65524,38.19434,16.246323,10.268592,63.60352,7.496802,0.0,10.133011,,0.046469603,1.360932,,0.0,,57.24956,37.272396,0.0,92.919525,0.0,5.9737654,6.7010307,,,,98.56088,60.575912,65.79831,18.460062,74.95539,,99.58341,100.0,94.616974,64.43928,0.7926323,0.0,2.1791568,0.06840881
1992-01-01,56.648647,2.2202632,17.04031,9.870064,21.015762,74.47707,8.352291,14.003759,69.121735,21.5661,59.445843,14.285714,0.0,0.0085244225,69.38776,92.74779,,26.170637,15.655102,,71.70191,,58.31092,3.943476,100.0,6.3858223,52.733234,,,,75.88653,93.55527,0.0,0.49865866,94.808624,20.999226,21.227085,13.876755,2.7667985,6.5571723,0.115335666,20.236547,2.163641,10.062034,0.339213,8.302197,81.53981,3.616151,0.0,66.71985,,65.753784,19.093079,,,0.0,2.5124285,50.75125,,64.671814,,14.874313,,,0.0,,12.1505375,19.696833,1.9990737,0.0,,9.9187155,77.565636,50.667557,98.20513,94.69526,0.15532573,,63.504967,15.680293,,40.845356,13.981863,99.62469,0.0,43.253433,65.13951,,99.90789,73.83783,17.162737,2.6892655,16.863867,,0.0,21.588707,100.0,,,0.0,0.0,28.120176,,0.0,27.730072,,,1.2404069,13.189098,81.920906,,,66.64626,,51.11187,57.083004,94.68553,90.85903,7.4223266,,76.646706,,0.0,1.0479273,39.452347,0.022758307,97.374176,3.203656,0.0,89.020004,12.337216,,70.093414,,0.0,99.072525,38.37562,,9.55026,,,,24.447674,,95.05009,1.0882642,88.701164,43.68017,33.807198,9.883105,70.51963,8.839751,0.0,8.949854,,0.04521878,1.6005539,,0.0,,52.446102,52.229885,0.0,92.392815,0.0,5.7933164,9.950249,,,,98.72123,60.744816,74.900505,17.567312,67.63295,,99.68714,99.06542,72.96417,48.85419,0.7020281,0.0,2.762552,0.09109246
1993-01-01,50.22852,1.7762192,18.219357,15.812945,20.541225,74.70456,8.884055,13.40578,78.39698,22.263037,54.545456,15.625,0.0,0.011201971,79.6875,91.32321,,22.06323,14.374051,,71.07107,,63.14682,4.117041,99.65151,6.617877,56.275154,,,,75.27473,88.13427,0.0,0.5043293,94.47853,19.773138,17.365639,12.890399,2.2813687,6.172237,0.09994234,19.964811,1.7037388,11.742477,0.4620878,9.850989,82.77102,3.9918647,0.0,79.324196,,73.29256,15.789474,,,0.0,4.107358,43.39269,,70.27523,,14.027462,,,0.0,,10.515673,19.336935,3.230809,0.0,,4.470232,86.86869,50.369278,82.86204,93.35477,0.11923431,,67.860756,27.838617,,38.41434,10.07722,99.59619,0.0,38.37618,72.9266,,99.866394,79.6799,18.924715,2.671308,27.997822,,0.0,23.015358,100.0,,,0.0,0.0,28.74573,,0.0,25.405994,,,0.8534338,16.44048,95.400856,,,64.70937,,51.584232,59.342636,96.48836,88.84817,5.838472,,79.58478,,0.0,0.96603775,45.999077,0.02374357,97.5892,4.8876495,0.0,91.48803,14.970803,,68.429855,,0.0,99.29251,27.611141,,21.090977,,,,24.581202,,93.90762,1.8182755,93.68421,48.80252,68.19698,10.359303,72.02457,12.73424,0.0,6.604388,,0.056939077,1.4399865,,0.0,,56.657864,71.14517,0.0,93.28864,0.0,5.11093,21.860466,,,,98.94068,60.739304,74.37404,18.108204,72.24513,,99.69342,99.17127,80.04886,47.574238,0.745319,0.0,2.7105517,0.08241597
1994-01-01,49.724693,2.0083494,20.094553,17.925482,16.80938,75.21973,8.187083,13.26841,80.611496,22.572216,46.012074,18.181818,0.0,0.032718945,80.314964,93.31496,,17.959501,17.000128,,69.98124,,61.429607,4.5137577,99.54173,6.9958644,55.48387,,,,82.91815,77.81585,0.0,0.4803819,94.45607,21.452448,11.881304,9.092796,2.0,7.003391,0.08091754,20.590303,1.8932142,7.909134,0.2758077,13.82442,83.80224,2.4035332,0.0,89.58508,,74.436935,15.760031,,,0.0,7.1649537,57.192677,,69.713264,,16.685423,,,0.0,,7.2519083,13.625953,2.9315617,0.0,,7.3234525,91.729324,44.90818,76.88787,91.9802,0.12520815,,73.40247,21.935854,,35.81225,11.702307,99.40012,0.0,42.681355,71.13954,,99.936844,80.34161,19.245543,2.7972546,34.10344,,0.0,23.661491,100.0,,,0.0,0.0,30.36123,,0.0,26.359055,,,1.4260553,18.029942,93.20721,,,60.33369,,41.56012,60.254284,98.28642,84.1662,6.341936,,59.91903,,0.0,0.5675369,39.052105,0.028585041,97.769516,6.074748,0.0,98.01759,14.970712,,72.00685,,0.0,99.39803,27.803583,,9.428622,,,,24.256012,,95.68637,0.83488405,93.71728,52.695248,62.10675,9.941897,69.12783,10.409197,0.0,8.656991,,0.060515337,1.6403663,,0.0,,46.600567,81.503296,0.0,93.33336,0.0,3.849684,33.796295,,,,98.82353,59.30167,67.19943,18.034033,77.420364,,99.66115,99.38271,80.272804,61.951443,0.40952778,0.0,3.025296,0.08132485
1995-01-01,60.536137,1.9129388,20.512379,19.518936,15.102286,72.24194,9.431749,13.171845,61.22909,22.247562,44.441086,20.588236,0.0,0.022983221,86.77686,93.5167,,20.184275,15.414932,,69.446884,,63.809174,4.8856845,99.68934,9.101849,56.602085,,,,51.11111,61.32698,0.0,0.4791581,93.99719,17.362188,12.721313,8.576035,1.9164174,5.420236,0.08216927,17.353586,1.8048506,9.345887,0.32051283,12.497562,76.86513,2.92511,0.0,77.829895,,73.812515,12.5837965,,,0.0,5.410461,67.560974,,69.66102,,13.686155,,,0.0,,11.578045,18.081026,4.2491803,0.0,,5.0529275,91.54589,40.04932,96.84031,96.90636,0.10843181,,75.61867,21.9407,,34.684998,13.062622,99.42207,0.0,40.743015,68.7127,,99.6567,79.416504,18.573046,2.770384,25.414099,,0.0,28.166233,100.0,,,0.0,0.0,32.358925,,0.0,25.183924,,,0.96595323,14.704052,92.71137,,,52.145924,,45.94509,57.037697,98.455315,79.98961,8.381305,,82.52427,,0.0,0.50854087,41.20839,0.030615369,97.5,5.2314734,0.0,92.84695,13.040272,,70.05147,,0.0,99.33115,29.253616,,11.027935,,,,23.272556,,93.98614,0.97895,93.75,50.22849,34.508183,9.378086,67.78835,9.1293125,0.0,3.4425318,,0.080263264,1.653048,,0.0,,41.835045,82.77664,0.0,92.12775,0.0,5.5373425,38.68313,,,0.0,98.85099,59.91577,65.70093,18.908062,75.28795,,99.708595,99.43503,72.81295,61.265633,0.5939481,0.0,3.7372427,0.08161267
1996-01-01,54.696133,1.4104979,18.218615,17.59705,13.903276,70.868744,10.244758,12.920373,67.92291,21.223253,55.743042,22.580645,0.0,0.021913005,87.13693,94.19838,,17.09599,13.689406,,63.42669,,83.48407,4.796425,99.96982,10.580967,58.487026,,,,44.95868,66.4819,0.0,0.58991164,93.148544,15.780376,12.050381,8.134967,1.8974069,5.1199164,0.07377578,19.25763,1.8335431,8.845073,0.36315617,12.417426,77.96374,2.4968555,0.0,77.91341,,59.50096,11.469997,,,0.0,5.2057896,69.745224,,76.206894,,10.0883,,,0.0,,8.248233,19.938995,4.979592,0.0,,15.60855,93.15353,41.850445,95.6327,96.724,0.09365159,,71.133575,21.62569,,33.86074,12.799277,99.20369,0.0,35.2778,78.530334,,99.89516,77.136406,19.15166,2.7309618,43.03757,,0.0,25.680521,100.0,,,0.0,0.0,36.990654,,0.0,28.130505,,,1.7544469,23.429,71.78808,,,52.06011,,36.808094,52.161663,98.426506,86.27838,8.169898,,79.83193,,0.0,0.8452126,42.667244,0.029708853,97.16431,4.827145,0.0,86.47473,14.366235,,71.237495,,0.0,99.28821,29.537075,,13.046107,,,,22.693188,,95.7205,0.65362644,89.980545,41.179844,25.297714,8.857645,64.72668,9.000995,0.0,6.4406486,,0.06743088,1.5768932,,0.0,,44.008648,70.24523,0.0,91.242386,0.0,6.833505,27.0073,,,0.0,98.862465,61.977127,54.797775,17.400393,81.84816,,99.70535,99.56332,79.38359,70.37501,0.7177395,0.0,3.7396703,0.035459667
1997-01-01,46.613743,1.6126456,18.886938,17.193356,13.325133,60.929333,9.700146,12.76498,63.057323,20.515848,39.849415,25.925926,0.0,0.032439448,84.033615,97.026024,,17.69689,13.384115,,64.41083,,84.41994,3.7892935,99.49172,9.414793,56.41261,,,,33.05785,66.48597,0.0,0.6102212,93.21518,16.023832,6.8420277,7.0874033,1.9150269,4.7210946,0.07122507,18.511728,1.8701122,9.703982,0.27139208,12.498077,72.22961,2.384041,0.0,76.541824,,65.53484,8.814371,,,0.0,5.1809983,74.36508,,77.12934,,6.691084,,,0.0,,6.6476054,15.780361,5.9215627,0.0,,15.324064,96.73267,37.93026,95.01558,90.84688,0.10633011,,62.10774,19.9022,,34.702488,13.366999,99.356064,0.0,35.491917,71.661316,,99.9076,73.56104,15.249893,2.672456,38.51438,,0.0,30.637993,100.0,,,0.0,0.0,31.201761,,0.0,23.46691,,,2.2342439,18.908415,66.997086,,,49.023254,,46.2978,55.69803,97.91503,75.50808,7.7231674,,64.583336,,0.0,0.51868445,38.54554,0.03159225,97.05655,5.635892,0.0,90.73608,12.54397,,73.35938,,0.0,99.30739,29.090162,,9.190161,,,,22.02281,,96.174446,0.3488859,76.35253,48.614006,23.055233,9.211814,65.46981,10.168686,0.0,6.063417,,0.08059255,1.61988,,3.3898306,,45.074886,53.108955,0.0,90.58062,0.0,6.859332,20.19544,,,0.0,98.849106,61.087284,56.90002,17.253725,70.5616,,99.62324,99.5585,85.68883,57.22092,0.9189877,0.0,3.219914,0.042874873
1998-01-01,34.2367,1.8588212,19.278784,17.543793,12.760528,51.157322,8.408326,14.95661,59.74288,19.410475,41.483444,15.909091,0.0,0.046745356,83.333336,95.52329,,21.450254,12.929025,,60.461655,,83.06609,3.8163671,77.530365,8.344666,48.227108,,,,46.153847,56.310394,0.0,0.4167787,89.49212,16.699059,12.405495,6.804299,1.9163032,5.621484,0.065867476,18.23133,1.8458549,9.947559,0.19273536,12.495676,70.46922,2.786522,0.0,79.83139,,74.4523,7.2374473,,,0.0,5.0762863,80.61776,,74.92669,,7.9969034,,,0.0,,6.8270483,13.507658,5.844961,0.0,,13.702961,99.505165,22.928244,97.35034,90.48,0.122921586,,67.01787,13.062666,,38.217194,15.366061,99.37782,0.0,34.310997,51.0618,,99.90763,74.309555,12.222329,3.0303454,33.48553,,0.0,35.29049,100.0,,,0.0,0.0,30.856112,,0.0,25.123835,,,1.95497,18.341734,68.88967,,,53.051884,,47.245186,54.573097,98.107056,96.65116,5.7489004,,57.142857,,0.0,0.79251516,38.036606,0.031870816,97.090355,9.208897,0.0,95.67217,12.611299,,71.5965,,0.0,99.158226,29.257177,,8.775103,,,,21.425898,,96.32022,0.9242541,80.42489,44.822937,24.82636,8.052966,67.11111,10.840094,0.0,6.714796,,0.11918951,1.7996466,,2.5316455,,41.9407,50.20381,0.0,90.58922,0.0,7.9715185,23.076923,,,0.0,98.35859,59.03552,44.90129,17.815845,68.56137,,99.59814,99.4186,79.19823,52.60862,0.6856093,0.0,2.8934758,0.06567266
1999-01-01,36.412704,2.2376628,19.069492,16.812757,11.919891,58.46598,7.74321,15.469363,69.625534,21.401562,47.96417,13.461538,0.0,0.048320852,84.375,97.62774,,18.399874,14.659807,,62.575302,,83.84746,4.206723,83.58668,9.7296095,50.067528,,,,58.022923,59.503902,0.0,0.47843096,84.12632,15.068069,10.94221,4.409846,1.9168013,4.9568377,0.08415147,19.489435,1.8139172,9.117985,0.19771218,12.910017,54.7314,2.5150504,0.0,85.900246,,67.08029,3.0162623,,,0.0,6.368203,73.09198,,70.355194,,11.535572,,,0.0,,1.8927444,17.117643,6.236559,0.0,,6.3978286,99.56004,22.375511,96.69148,95.46685,0.10378229,,60.373035,18.144045,,38.212444,20.238962,99.31957,0.0,29.321981,68.23144,,99.90186,76.33403,18.922571,3.0127773,17.628849,,0.0,36.067837,100.0,,,0.0,0.0,37.719437,,0.0,28.208414,,,1.633401,12.214822,67.43208,,,49.938095,,46.308277,58.862694,97.65778,93.71478,3.9249659,,48.13084,,0.0,0.9002701,29.781004,0.03386769,97.52125,8.4243555,0.0,76.449326,15.558396,,75.16466,,0.0,99.33024,41.00973,,11.215788,,,,20.61009,,97.329155,0.81997013,66.96629,33.551678,20.99003,8.119635,68.46777,8.285651,0.0,5.7647057,,0.07165485,1.7618383,,2.7777777,,46.019066,54.48099,0.0,87.536896,0.0,7.796486,34.72222,,,0.0,98.75592,59.6745,35.399845,16.437016,78.79361,,99.54777,85.58559,83.1337,56.46814,0.71073693,0.0,3.4253564,0.079650566
2000-01-01,36.75,2.063283,18.840443,15.967007,12.812785,54.78333,6.908685,16.369678,71.720695,17.528122,34.794197,10.294118,0.0,0.0587337,59.042553,98.32736,62.24882,20.95004,13.1739,27.526392,61.06464,0.0,78.93319,4.5030465,91.499374,7.6351614,41.56746,55.969334,0.0,0.31288305,51.736748,61.782394,0.0,0.50581115,82.71733,13.271533,10.732387,3.0185447,1.9153605,4.8002334,0.0726659,18.398935,1.7408416,9.066875,0.5286702,14.673447,33.034157,1.9404043,0.0,85.89512,100.0,68.15764,4.46276,99.89685,26.269222,0.0,5.6367617,74.61407,,68.26801,90.268364,10.058479,0.0,26.336157,0.0,0.0,5.399325,16.109396,6.7249374,0.13577732,,5.5819016,99.46414,36.967564,99.14773,98.37251,0.15842733,26.834576,62.03062,8.932369,0.0,37.28387,17.178095,99.51532,0.0,25.242233,69.94066,40.98643,100.0,81.18911,17.220137,2.8350232,26.768578,0.5478259,0.0,28.455347,62.874252,49.06431,20.627666,0.0,0.0,31.828678,34.782608,0.0,28.141516,1.3730743,0.0,1.8673755,14.169949,45.645344,0.0,25.917927,46.049046,88.395905,54.120716,56.61878,98.44178,85.297646,6.2785873,,57.142857,0.0,0.0,0.6040015,24.718624,0.030472321,97.73157,6.678527,0.0,92.923035,7.5284877,1.832173,73.748405,0.0,0.0,98.889885,45.661186,0.0,7.1221595,0.0,0.0,99.709,19.675917,93.537315,96.14902,0.21249804,63.114185,40.510597,21.16482,7.953421,70.553566,8.203648,0.0,4.8633566,0.0,0.103444315,2.02233,34.781494,2.3809524,99.986786,50.128864,48.844566,0.0,87.24399,0.0,7.2109275,25.128204,95.99324,0.0,8.928572,98.90804,59.158596,46.19991,16.405382,74.36414,0.0,99.949844,99.66555,82.1506,57.361935,0.5920702,0.0,3.148395,0.083210826
