date,afghanistan,albania,algeria,angola,argentina,armenia,australia,austria,azerbaijan,bahamas,bahrain,bangladesh,barbados,belarus,belgium,belize,benin,bhutan,bolivia,bosnia_and_herzegovina,botswana,brazil,brunei,bulgaria,burkina_faso,burundi,cabo_verde,cambodia,cameroon,canada,central_african_republic,chad,chile,china,colombia,comoros,congo_democratic_republic,congo_republic,costa_rica,croatia,cyprus,czechia,denmark,djibouti,dominican_republic,ecuador,egypt,el_salvador,equatorial_guinea,estonia,eswatini,ethiopia,fiji,finland,france,french_polynesia,gabon,gambia,georgia,germany,ghana,greece,guatemala,guinea,guinea_bissau,guyana,haiti,honduras,hong_kong,hungary,iceland,india,indonesia,iran,iraq,ireland,israel,italy,ivory_coast,jamaica,japan,jordan,kazakhstan,kenya,kuwait,kyrgyzstan,laos,latvia,lebanon,lesotho,liberia,libya,lithuania,luxembourg,madagascar,malawi,malaysia,maldives,mali,malta,mauritania,mauritius,mexico,moldova,mongolia,montenegro,morocco,mozambique,myanmar,namibia,nepal,netherlands,new_caledonia,new_zealand,nicaragua,niger,nigeria,north_macedonia,norway,oman,pakistan,panama,papua_new_guinea,paraguay,peru,philippines,poland,portugal,qatar,regions,regions_patch,romania,russia,rwanda,samoa,sao_tome_and_principe,saudi_arabia,senegal,serbia,sierra_leone,singapore,slovakia,slovenia,solomon_islands,south_africa,south_korea,spain,sri_lanka,st_lucia,st_vincent_and_the_grenadines,sudan,suriname,sweden,switzerland,syria,tajikistan,tanzania,thailand,timor_leste,togo,tonga,trinidad_and_tobago,tunisia,turkey,turkmenistan,uganda,ukraine,united_arab_emirates,united_kingdom,united_states,uruguay,uzbekistan,vanuatu,venezuela,vietnam,west_bank_and_gaza,yemen,zambia,zimbabwe
1991-01-01,12238879.0,3266790.0,25987928.0,12023529.0,33230294.0,3613977.0,17284036.0,7754891.0,7271300.0,280731.0,503052.0,113787110.0,259373.0,10194050.0,10004486.0,187040.0,5446932.0,599784.0,7280289.0,4458343.0,1341756.0,151724260.0,262596.0,8632367.0,9394632.0,5703857.0,384586.0,7686850.0,11667180.0,28037420.0,2963191.0,6205676.0,13662491.0,1150780000.0,33098372.0,455556.0,37925816.0,2449229.0,3202176.0,4689022.0,798944.0,10308578.0,5154298.0,631092.0,7299853.0,10702380.0,60028996.0,5495077.0,492217.0,1561314.0,908189.0,49717200.0,779656.0,5013740.0,58554240.0,207744.0,1010818.0,1099959.0,4835900.0,80013896.0,15787496.0,10319927.0,9272584.0,6697166.0,994639.0,747861.0,6995450.0,5123792.0,5752000.0,10373400.0,257797.0,883927600.0,186778240.0,59986932.0,17767252.0,3534235.0,4949000.0,56758520.0,12683870.0,2400869.0,123964000.0,3915149.0,17278600.0,23646514.0,1351399.0,4463634.0,4435118.0,2650581.0,3668912.0,1842379.0,1956518.0,4544400.0,3704134.0,387000.0,12421412.0,9844227.0,18342464.0,231802.0,9362888.0,363845.0,2009738.0,1070266.0,84430580.0,2981566.0,2165342.0,607105.0,24799014.0,13352090.0,40394150.0,1415684.0,20036500.0,15069798.0,181238.0,3495100.0,4259637.0,8546900.0,99720160.0,2055994.0,4261732.0,1851473.0,120060410.0,2508265.0,4021837.0,4144364.0,22483776.0,64382250.0,38246190.0,9960235.0,454853.0,320442980.0,2092102500.0,23001156.0,148394200.0,7526966.0,169368.0,125697.0,11160744.0,7943085.0,7595636.0,4246267.0,3135083.0,5303294.0,1999429.0,341738.0,41687896.0,43295704.0,38966376.0,16475354.0,139520.0,112222.0,22470676.0,415013.0,8617375.0,6799978.0,12980821.0,5541205.0,26780436.0,55637430.0,778278.0,4115560.0,99895.0,1262171.0,8501827.0,57009890.0,3855894.0,18155900.0,52170960.0,2006626.0,57424896.0,252981000.0,3122354.0,20962910.0,151793.0,20304896.0,66891776.0,2068845.0,14430201.0,7981650.0,10404816.0
1992-01-01,13278974.0,3247039.0,26628568.0,12423712.0,33693530.0,3571861.0,17478636.0,7840709.0,7382050.0,285927.0,516458.0,115952190.0,260267.0,10216470.0,10045158.0,190983.0,5617844.0,577774.0,7430336.0,4234616.0,1380033.0,154275070.0,269839.0,8540164.0,9629275.0,5858407.0,393415.0,8113083.0,12006353.0,28371264.0,3058831.0,6474656.0,13884577.0,1164970000.0,33760572.0,465113.0,39228910.0,2519465.0,3284258.0,4575818.0,810341.0,10319123.0,5171370.0,626010.0,7447474.0,10930128.0,61480660.0,5585609.0,510770.0,1533091.0,943416.0,51853748.0,785346.0,5041992.0,58846584.0,211559.0,1038380.0,1145582.0,4873500.0,80624600.0,16184855.0,10399061.0,9522266.0,6914366.0,1024356.0,749911.0,7136571.0,5271431.0,5800500.0,10369341.0,261057.0,902957060.0,190043740.0,61184984.0,18300844.0,3558430.0,5123000.0,56797090.0,13200310.0,2424701.0,124425000.0,4127693.0,17332624.0,24382460.0,1634961.0,4515399.5,4559646.0,2614338.0,3747371.0,1873274.0,2072461.0,4640352.0,3700114.0,392175.0,12800870.0,10135079.0,18834572.0,238543.0,9553540.0,367618.0,2088135.0,1084441.0,86044810.0,2980965.0,2167790.0,608516.0,25212468.0,13613316.0,40950344.0,1461322.0,20609708.0,15184166.0,186072.0,3531700.0,4357026.0,8817633.0,102372770.0,2032523.0,4286401.0,1938238.0,123546850.0,2561336.0,4166699.0,4253600.0,22946340.0,65926124.0,38363668.0,9952494.0,469657.0,329082720.0,2138854300.0,22794284.0,148538190.0,7683266.0,170331.0,128110.0,11686676.0,8168395.0,7604063.0,4166366.0,3230698.0,5305016.0,1996498.0,352205.0,42443508.0,43747960.0,39157684.0,16739284.0,141617.0,112509.0,22927356.0,417589.0,8668067.0,6875364.0,13385571.0,5649400.0,27457588.0,56528830.0,799318.0,4233617.0,100022.0,1271674.0,8682512.0,57990120.0,3944689.0,18785032.0,52323670.0,2114730.0,57580400.0,256514000.0,3139702.0,21485090.0,155608.0,20780948.0,68260340.0,2163591.0,14989494.0,8176680.0,10702700.0
1993-01-01,14943172.0,3227287.0,27277048.0,12827135.0,34152716.0,3453332.0,17634808.0,7905633.0,7494800.0,291339.0,530225.0,118132360.0,261027.0,10239050.0,10084475.0,194902.0,5872706.0,554673.0,7579195.0,3904482.0,1420115.0,156794580.0,276971.0,8472313.0,9871713.0,5676843.0,401965.0,8616381.0,12353131.0,28684764.0,3157839.0,6629146.0,14102276.0,1178440000.0,34441470.0,473682.0,40656336.0,2595124.0,3367434.0,4600463.0,826034.0,10329855.0,5188628.0,614245.0,7594572.0,11154274.0,62915680.0,5659957.0,530023.0,1494128.0,971318.0,53708892.0,790369.0,5066447.0,59103096.0,215219.0,1066405.0,1188365.0,4911100.0,81156360.0,16589519.0,10460415.0,9779761.0,7128177.0,1058745.0,752965.0,7278181.0,5423249.0,5901000.0,10357523.0,263725.0,922118400.0,193305170.0,61403544.0,19201196.0,3576261.0,5261000.0,56831820.0,13735951.0,2449916.0,124829000.0,4348020.0,17274488.0,25117188.0,1672151.0,4516777.0,4685060.0,2563290.0,3820647.0,1901793.0,2155126.0,4733045.0,3682613.0,397475.0,13197345.0,10284024.0,19322664.0,244884.0,9754786.0,371308.0,2174328.0,1097374.0,87653810.0,2975966.0,2165130.0,610170.0,25614586.0,14051192.0,41502428.0,1508697.0,21180160.0,15290368.0,190857.0,3572200.0,4453732.0,9100789.0,105122070.0,2006854.0,4311991.0,2021675.0,127020120.0,2615099.0,4320872.0,4362696.0,23413784.0,67530620.0,38461410.0,9964675.0,484545.0,338324000.0,2184656100.0,22763280.0,148458780.0,7981132.0,171774.0,130467.0,12215862.0,8396288.0,7614328.0,4157130.0,3313471.0,5325305.0,1991746.0,362839.0,43297156.0,44194628.0,39361264.0,17025918.0,143726.0,112735.0,23445592.0,419352.0,8718561.0,6938265.0,13795686.0,5724993.0,28332692.0,57408200.0,821437.0,4207453.0,100103.0,1280466.0,8857910.0,58999170.0,4032407.0,19445160.0,52350130.0,2222093.0,57718616.0,259919000.0,3156345.0,21987956.0,159463.0,21254520.0,69586380.0,2262676.0,15563914.0,8373921.0,10860288.0
1994-01-01,16250794.0,3207536.0,27887280.0,13249764.0,34613492.0,3364610.0,17805468.0,7936118.0,7596550.0,296509.0,544366.0,120343176.0,261620.0,10226955.0,10115603.0,199097.0,6096506.0,554497.0,7727322.0,3725412.0,1460023.0,159265010.0,284091.0,8443591.0,10123798.0,5713854.0,410228.0,9239162.0,12704903.0,29000664.0,3257954.0,6783450.0,14316256.0,1191835000.0,35127410.0,482142.0,42626876.0,2673144.0,3451122.0,4652024.0,844667.0,10333587.0,5206180.0,626710.0,7741694.0,11372197.0,64285588.0,5714129.0,550138.0,1462514.0,971212.0,55611508.0,794771.0,5088333.0,59324864.0,218738.0,1094720.0,1227226.0,4836076.0,81438350.0,16993190.0,10512922.0,10043718.0,7345107.0,1092031.0,755822.0,7419771.0,5579242.0,6035400.0,10343355.0,266021.0,941163800.0,196591820.0,61520600.0,20139808.0,3590386.0,5399000.0,56843400.0,14287201.0,2475220.0,125178000.0,4561406.0,17043772.0,25857130.0,1664361.0,4515068.5,4809220.0,2520742.0,3889799.0,1927707.0,2149928.0,4822037.0,3657144.0,402925.0,13613850.0,10164894.0,19820446.0,250822.0,9967031.0,374797.0,2249454.0,1112846.0,89259210.0,2966745.0,2189395.0,611389.0,26000822.0,15033853.0,42055144.0,1556304.0,21717480.0,15382838.0,195614.0,3620000.0,4549316.0,9398258.0,107935710.0,1992666.0,4336613.0,2081834.0,130748080.0,2669546.0,4480208.0,4471417.0,23881492.0,69019290.0,38542652.0,9991525.0,499459.0,347441820.0,2228719000.0,22730212.0,148407900.0,6792352.0,173159.0,132732.0,12750040.0,8624078.0,7622711.0,4173105.0,3419048.0,5346331.0,1989443.0,373675.0,44004140.0,44641540.0,39549108.0,17275772.0,145890.0,112918.0,24043948.0,422375.0,8780745.0,6993795.0,14208583.0,5825368.0,29442356.0,58260856.0,844493.0,4222940.0,100166.0,1288341.0,9018448.0,60033836.0,4116662.0,20108800.0,52076000.0,2328188.0,57865744.0,263126000.0,3172834.0,22463292.0,163314.0,21725188.0,70854390.0,2366298.0,16149147.0,8576269.0,10873148.0
1995-01-01,17065836.0,3187784.0,28470192.0,13699778.0,35070020.0,3307581.0,18004882.0,7948278.0,7684850.0,301461.0,558879.0,122600370.0,262039.0,10193831.0,10136811.0,204146.0,6226773.0,547989.0,7874676.0,3715564.0,1498836.0,161735070.0,291195.0,8406067.0,10386722.0,6066316.0,418104.0,10018497.0,13058516.0,29302312.0,3348052.0,7089064.0,14527381.0,1204855000.0,35804664.0,490586.0,44433704.0,2749461.0,3535176.0,4620030.0,862695.0,10327253.0,5233373.0,633074.0,7888115.0,11590514.0,65652624.0,5762131.0,571264.0,1436634.0,970433.0,57537336.0,798746.0,5107790.0,59541296.0,222118.0,1123213.0,1264313.0,4657722.0,81678050.0,17399016.0,10562153.0,10312996.0,7553249.0,1119949.0,758388.0,7562546.0,5739637.0,6156100.0,10328965.0,267468.0,960301060.0,199888060.0,62205570.0,20825860.0,3608841.0,5545000.0,56844304.0,14855565.0,2500151.0,125472000.0,4752096.0,16730536.0,26601752.0,1681513.0,4560454.0,4929409.0,2485056.0,3960735.0,1951437.0,2169162.0,4906843.0,3629102.0,408625.0,14051275.0,10150117.0,20330600.0,256649.0,10185365.0,377419.0,2312017.0,1122457.0,90862456.0,2953200.0,2224945.0,611712.0,26399428.0,15960530.0,42605336.0,1602170.0,22245440.0,15459006.0,200379.0,3673400.0,4642931.0,9714529.0,110819420.0,1998534.0,4359184.0,2120528.0,134582260.0,2724557.0,4644278.0,4579806.0,24348920.0,70546250.0,38595000.0,10026176.0,514325.0,356580380.0,2273692200.0,22684270.0,148375790.0,5674118.0,174571.0,134895.0,13289245.0,8848101.0,7628264.0,4179179.0,3524506.0,5361999.0,1989872.0,384733.0,44541550.0,45092990.0,39724050.0,17564068.0,148208.0,113047.0,24672144.0,429606.0,8826939.0,7040687.0,14616801.0,5948584.0,30383496.0,59098230.0,868146.0,4410832.0,100225.0,1295169.0,9161258.0,61024504.0,4191203.0,20665668.0,51665540.0,2434662.0,58019030.0,266278000.0,3189440.0,22917588.0,167137.0,22193820.0,72049940.0,2474666.0,16740058.0,8785763.0,10974599.0
1996-01-01,17763266.0,3168033.0,29033044.0,14170973.0,35513790.0,3278735.0,18224768.0,7959017.0,7763000.0,306268.0,573792.0,124862180.0,262284.0,10159569.0,10156637.0,210310.0,6391858.0,548784.0,8021736.0,3875246.0,1535914.0,164202540.0,298276.0,8362826.0,10655942.0,6070506.0,425581.0,10801270.0,13414757.0,29610218.0,3435965.0,7410108.0,14734046.0,1217550000.0,36462744.0,499107.0,45296124.0,2826785.0,3619013.0,4557097.0,880290.0,10315241.0,5263074.0,648348.0,8032894.0,11810950.0,67028050.0,5805286.0,593492.0,1415594.0,989841.0,59467636.0,803789.0,5124573.0,59754504.0,225489.0,1152015.0,1301410.0,4491699.0,81914830.0,17810180.0,10608800.0,10583526.0,7770035.0,1143535.0,760526.0,7707557.0,5903954.0,6435500.0,10311238.0,268916.0,979678460.0,203204350.0,62881300.0,21501320.0,3637510.0,5692000.0,56860280.0,15442312.0,2524463.0,125757000.0,4912516.0,16416027.0,27344212.0,1730246.0,4628437.5,5045678.0,2457222.0,4034781.0,1972418.0,2232289.0,4987393.0,3601613.0,414225.0,14510711.0,10352228.0,20850088.0,262347.0,10407278.0,379905.0,2358188.0,1133996.0,92452700.0,2947293.0,2259507.0,611003.0,26808108.0,16492480.0,43154860.0,1646103.0,22741862.0,15530498.0,205034.0,3732000.0,4729974.0,10044852.0,113754776.0,2012553.0,4381336.0,2156926.0,138557090.0,2780227.0,4813361.0,4687543.0,24811172.0,72190240.0,38624370.0,10063945.0,529019.0,366138530.0,2321284400.0,22619004.0,148160130.0,6708764.0,176071.0,136962.0,13831009.0,9067014.0,7622185.0,4199210.0,3670704.0,5373361.0,1988628.0,396009.0,45123016.0,45524680.0,39889852.0,17905018.0,150436.0,113119.0,25231528.0,438830.0,8840998.0,7071850.0,15018104.0,6066523.0,30945762.0,59920064.0,892282.0,4577860.0,100275.0,1300928.0,9294432.0,61951136.0,4263819.0,21231550.0,51226108.0,2597564.0,58166950.0,269394000.0,3206324.0,23351980.0,170911.0,22662112.0,73156450.0,2587997.0,17313176.0,9004053.0,11158360.0
1997-01-01,18452092.0,3148281.0,29579300.0,14660413.0,35947790.0,3246289.0,18423036.0,7968041.0,7838250.0,310904.0,589115.0,127198070.0,262392.0,10117433.0,10181245.0,217446.0,6583365.0,558697.0,8167900.0,4018227.0,1571691.0,166661660.0,305341.0,8312068.0,10934223.0,6070042.0,432798.0,11570982.0,13775214.0,29905948.0,3531700.0,7670366.0,14932434.0,1230075000.0,37121148.0,507777.0,46029904.0,2887862.0,3701711.0,4534920.0,897568.0,10304131.0,5284991.0,671817.0,8174078.0,12031127.0,68431740.0,5844578.0,616893.0,1399535.0,1006635.0,61404540.0,812139.0,5139835.0,59968064.0,229121.0,1181439.0,1338889.0,4349913.0,82034770.0,18238958.0,10661259.0,10857754.0,7931370.0,1165545.0,762245.0,7854298.0,6071454.0,6489300.0,10290486.0,271128.0,999133760.0,206536100.0,63639640.0,22176592.0,3674171.0,5836000.0,56890372.0,16047170.0,2547848.0,126057000.0,5046285.0,16043251.0,28101768.0,1787683.0,4696420.5,5152011.0,2432851.0,4108405.0,1988130.0,2412989.0,5064639.0,3575137.0,419450.0,14990814.0,10562035.0,21375218.0,267707.0,10646495.0,382791.0,2411306.0,1148284.0,94021210.0,2936413.0,2291750.0,609520.0,27213336.0,16949982.0,43708800.0,1689264.0,23219464.0,15610650.0,209560.0,3781300.0,4809573.0,10383969.0,116754790.0,1996869.0,4405157.0,2190720.0,142531800.0,2836695.0,4987883.0,4794412.0,25274148.0,73908810.0,38649660.0,10108977.0,550500.0,375646240.0,2369042400.0,22553978.0,147915360.0,7755238.0,177547.0,138922.0,14374943.0,9283495.0,7598538.0,4253716.0,3796038.0,5383291.0,1985956.0,407474.0,45666840.0,45953580.0,40057388.0,18248200.0,152569.0,113141.0,25799820.0,448067.0,8846062.0,7088906.0,15417542.0,6139829.0,31578088.0,60724584.0,917184.0,4725030.0,100674.0,1305836.0,9421270.0,62852970.0,4336730.0,21856046.0,50786884.0,2817410.0,58316950.0,272657000.0,3223345.0,23758960.0,174626.0,23131684.0,74226890.0,2706518.0,17873936.0,9237063.0,11369827.0
1998-01-01,19159996.0,3128530.0,30054132.0,15159370.0,36372860.0,3208401.0,18607584.0,7976789.0,7913000.0,315368.0,604842.0,129622340.0,262436.0,10071963.0,10203008.0,225173.0,6789489.0,569435.0,8313394.0,4089356.0,1606899.0,169159650.0,312385.0,8256786.0,11240664.0,6187108.0,439784.0,12058173.0,14144860.0,30155172.0,3628827.0,7938840.0,15127799.0,1241935000.0,37792164.0,516597.0,47297600.0,2952061.0,3782838.0,4532135.0,914548.0,10294373.0,5304219.0,699352.0,8310362.0,12251184.0,69943300.0,5880781.0,641474.0,1386156.0,1019653.0,63363524.0,822258.0,5153498.0,60190684.0,232891.0,1211736.0,1376987.0,4243607.0,82047190.0,18688036.0,10720509.0,11139145.0,8081990.0,1187473.0,763586.0,8002143.0,6234431.0,6543700.0,10266570.0,274047.0,1018665100.0,209826780.0,64519860.0,22884400.0,3712696.0,5971000.0,56906744.0,16663948.0,2569736.0,126400000.0,5164284.0,15647785.0,28888056.0,1844302.0,4769014.5,5248266.0,2410019.0,4181281.0,1998049.0,2670124.0,5140704.0,3549331.0,424700.0,15489364.0,10792876.0,21906712.0,272723.0,10919573.0,385287.0,2474651.0,1160421.0,95575250.0,2935227.0,2323809.0,607662.0,27621648.0,17340464.0,44257790.0,1732745.0,23680356.0,15707209.0,214047.0,3815000.0,4883655.0,10741413.0,119846260.0,2007523.0,4431464.0,2222489.0,146522350.0,2893914.0,5166390.0,4900025.0,25738096.0,75791020.0,38663480.0,10160196.0,580540.0,385505760.0,2416119800.0,22507344.0,147670780.0,8081681.0,178905.0,140751.0,14922185.0,9502952.0,7567745.0,4295785.0,3927213.0,5390516.0,1981629.0,419071.0,46223880.0,46286504.0,40223508.0,18596004.0,154677.0,113180.0,26459000.0,457406.0,8850974.0,7110001.0,15820413.0,6176397.0,32420458.0,61522630.0,942530.0,4860913.0,101388.0,1310225.0,9541667.0,63734384.0,4410507.0,22515806.0,50379732.0,3040421.0,58487140.0,275854000.0,3239280.0,24134928.0,178313.0,23601336.0,75299660.0,2776568.0,18446012.0,9482408.0,11594297.0
1999-01-01,19887784.0,3108778.0,30474354.0,15667235.0,36794680.0,3167286.0,18812264.0,7992324.0,7982750.0,319614.0,620989.0,132108060.0,262517.0,10026738.0,10226419.0,233059.0,7002818.0,582579.0,8459806.0,4130305.0,1641997.0,171641540.0,319411.0,8210624.0,11574928.0,6337155.0,446519.0,12265731.0,14525140.0,30401286.0,3729450.0,8222705.0,15319313.0,1252735000.0,38454864.0,525886.0,48912972.0,3032874.0,3862101.0,4512597.0,931234.0,10283860.0,5321799.0,724218.0,8446208.0,12470795.0,71520950.0,5913900.0,667214.0,1390244.0,1030782.0,65374560.0,831828.0,5165474.0,60501984.0,236595.0,1243016.0,1415779.0,4157192.0,82100240.0,19149864.0,10761698.0,11422965.0,8265123.0,1210206.0,764483.0,8151296.0,6400463.0,6606500.0,10237530.0,277381.0,1038225800.0,213004670.0,65445390.0,23636528.0,3754786.0,6125000.0,56916316.0,17215936.0,2589795.0,126631000.0,5276444.0,15455874.0,29733408.0,1900030.0,4840422.0,5340784.0,2390482.0,4255277.0,2003234.0,2821684.0,5218038.0,3524238.0,430475.0,16000506.0,11047804.0,22435532.0,277412.0,11227415.0,387578.0,2541698.0,1175267.0,97115704.0,2930622.0,2356813.0,606001.0,28027180.0,17734506.0,44787724.0,1776368.0,24125200.0,15812088.0,218527.0,3835100.0,4954018.0,11117411.0,123047320.0,2017142.0,4461913.0,2252909.0,150565380.0,2951822.0,5349333.0,5003135.0,26186504.0,77753256.0,38660270.0,10217828.0,612500.0,395750940.0,2462704000.0,22472040.0,147214780.0,8147912.0,180275.0,142442.0,15472075.0,9730887.0,7540401.0,4318043.0,3958723.0,5396020.0,1983045.0,430500.0,46730336.0,46616676.0,40386876.0,18944732.0,156702.0,113366.0,27130612.0,466916.0,8857874.0,7143991.0,16228061.0,6208370.0,33300330.0,62299044.0,834697.0,5000269.0,102046.0,1314708.0,9655963.0,64591924.0,4492170.0,23257280.0,49976450.0,3266009.0,58682464.0,279040000.0,3254015.0,24476008.0,182048.0,24066592.0,76287460.0,2848431.0,19029420.0,9740005.0,11783458.0
2000-01-01,20130328.0,3089027.0,30903892.0,16194869.0,37213984.0,3221100.0,19028802.0,8011566.0,8048600.0,323835.0,637582.0,134544300.0,262063.0,9979610.0,10251250.0,240799.0,7221619.0,596863.0,8606326.0,4159771.0,1677382.0,174018290.0,326424.0,8170172.0,11925546.0,6470194.0,453317.0,12462336.0,14912631.0,30685730.0,3833416.0,8512093.0,15503635.0,1262645000.0,39089936.0,536080.0,50507440.0,3151345.0,3937739.0,4468302.0,947667.0,10255063.0,5339616.0,747318.0,8584190.0,12689206.0,73083280.0,5943366.0,703279.0,1396985.0,1041414.0,67411496.0,840909.0,5176209.0,60918660.0,240337.0,1275572.0,1455084.0,4077131.0,82211500.0,19637088.0,10805808.0,11697592.0,8428832.0,1234741.0,764832.0,8303151.0,6577773.0,6665000.0,10210971.0,281205.0,1057922750.0,216077800.0,66418660.0,24424056.0,3805174.0,6289000.0,56942108.0,17699004.0,2607826.0,126843000.0,5386945.0,15501103.0,30642890.0,1954709.0,4898361.5,5431212.0,2367550.0,4329340.0,2003913.0,2928117.0,5305021.0,3499536.0,436300.0,16516338.0,11315942.0,22967816.0,282019.0,11559290.0,390087.0,2613441.0,1186873.0,98625550.0,2924668.0,2388299.0,604950.0,28423436.0,18129652.0,45290840.0,1818647.0,24546508.0,15925513.0,223098.0,3857700.0,5022633.0,11509630.0,126382500.0,2026350.0,4490967.0,2282131.0,154879120.0,3010369.0,5537064.0,5100868.0,26598332.0,79625400.0,38258628.0,10289898.0,644989.0,406156670.0,2509431600.0,22442972.0,146596860.0,8213931.0,181685.0,144018.0,16177722.0,9968260.0,7516346.0,4423611.0,4027887.0,5388720.0,1988925.0,440469.0,47159720.0,47008110.0,40567864.0,19293054.0,158616.0,113545.0,27816744.0,476643.0,8872109.0,7184250.0,16637888.0,6284735.0,34260140.0,63007816.0,745088.0,5140037.0,102677.0,1319774.0,9764935.0,65425960.0,4582677.0,24000150.0,49556660.0,3493575.0,58892510.0,282162400.0,3266206.0,24787054.0,186281.0,24526708.0,77154010.0,2922153.0,19624140.0,10017631.0,11892055.0
