date,afghanistan,albania,algeria,angola,argentina,armenia,australia,austria,azerbaijan,bahamas,bahrain,bangladesh,barbados,belarus,belgium,belize,benin,bhutan,bolivia,bosnia_and_herzegovina,botswana,brazil,brunei,bulgaria,burkina_faso,burundi,cabo_verde,cambodia,cameroon,canada,central_african_republic,chad,chile,china,colombia,comoros,congo_democratic_republic,congo_republic,costa_rica,croatia,cyprus,czechia,denmark,djibouti,dominican_republic,ecuador,egypt,el_salvador,equatorial_guinea,estonia,eswatini,ethiopia,fiji,finland,france,french_polynesia,gabon,gambia,georgia,germany,ghana,greece,guatemala,guinea,guinea_bissau,guyana,haiti,honduras,hong_kong,hungary,iceland,india,indonesia,iran,iraq,ireland,israel,italy,ivory_coast,jamaica,japan,jordan,kazakhstan,kenya,kuwait,kyrgyzstan,laos,latvia,lebanon,lesotho,liberia,libya,lithuania,luxembourg,madagascar,malawi,malaysia,maldives,mali,malta,mauritania,mauritius,mexico,moldova,mongolia,montenegro,morocco,mozambique,myanmar,namibia,nepal,netherlands,new_caledonia,new_zealand,nicaragua,niger,nigeria,north_macedonia,norway,oman,pakistan,panama,papua_new_guinea,paraguay,peru,philippines,poland,portugal,qatar,regions,regions_patch,romania,russia,rwanda,samoa,sao_tome_and_principe,saudi_arabia,senegal,serbia,sierra_leone,singapore,slovakia,slovenia,solomon_islands,south_africa,south_korea,spain,sri_lanka,st_lucia,st_vincent_and_the_grenadines,sudan,suriname,sweden,switzerland,syria,tajikistan,tanzania,thailand,timor_leste,togo,tonga,trinidad_and_tobago,tunisia,turkey,turkmenistan,uganda,ukraine,united_arab_emirates,united_kingdom,united_states,uruguay,uzbekistan,vanuatu,venezuela,vietnam,west_bank_and_gaza,yemen,zambia,zimbabwe
1991-01-01,3521418000.0,1099559000.0,45715677000.0,10603784000.0,189719990000.0,2069870100.0,325975300000.0,173113440000.0,5344000000.0,3111160000.0,5248911400.0,30957484000.0,2020583700.0,18404907000.0,210511000000.0,597100000.0,1986437800.0,240294290.0,5343262000.0,6122959400.0,3942876700.0,342534100000.0,6284497400.0,10943548000.0,3135045600.0,1167398500.0,319827070.0,2054974100.0,11840193000.0,612527700000.0,1377375000.0,1877137900.0,37846190000.0,383373300000.0,49637994000.0,424108770.0,9087965000.0,2724853500.0,7215725600.0,18760387000.0,5770197500.0,30071013000.0,139180500000.0,462421980.0,9824483000.0,16988535000.0,37387837000.0,5252342300.0,110906030.0,4013091600.0,1156135700.0,13799800000.0,1383883300.0,127794440000.0,1258961800000.0,3410079000.0,5402920000.0,690311100.0,6339735000.0,1875792600000.0,6603185000.0,103680860000.0,9406135000.0,4396179000.0,668470900.0,348533100.0,3473562600.0,4648668700.0,88960000000.0,34753570000.0,6909730300.0,270105350000.0,116622000000.0,131637666000.0,407796350.0,49787503000.0,70871080000.0,1249092400000.0,10492629000.0,4106207700.0,3648065600000.0,4344467000.0,24923077000.0,8151489000.0,11009994000.0,2542256400.0,1028088000.0,5608209000.0,4690415000.0,704325400.0,348000000.0,31991820000.0,7921210400.0,13834220000.0,3254713000.0,3206783700.0,49143150000.0,244396770.0,2724131600.0,2750215000.0,2133692700.0,2895354600.0,313139660000.0,3094566000.0,2379018200.0,838289100.0,32285573000.0,3854856400.0,2069832700.0,2996869400.0,3921476000.0,327982320000.0,2653780700.0,42745330000.0,1488804100.0,3285796900.0,59526832000.0,4938775600.0,121872470000.0,12918335000.0,45625336000.0,7074675700.0,3787395000.0,6984367600.0,34341466000.0,51784147000.0,85500940000.0,89233600000.0,6883516400.0,276493660000.0,2032922700000.0,28850635000.0,517962960000.0,1911600300.0,125597210.0,107484140.0,132223230000.0,7255210500.0,17921892000.0,779981440.0,45466165000.0,14459924000.0,14454495000.0,227540480.0,135203700000.0,330647040000.0,576753900000.0,9000363000.0,613703700.0,254829630.0,44171194000.0,448100000.0,273834600000.0,268901700000.0,12981834000.0,2536585500.0,7197768000.0,98234710000.0,147713000.0,2262767900.0,132201144.0,5307906000.0,13074782000.0,151034720000.0,3208098800.0,3321729300.0,77350730000.0,51552166000.0,1142797200000.0,6158129000000.0,11206177000.0,13800167000.0,201334180.0,53453443000.0,9613369000.0,2843300000.0,14665445000.0,3376806700.0,8641482000.0
1992-01-01,3521418000.0,652175000.0,48003133000.0,8307811000.0,228778920000.0,1272835500.0,325525370000.0,194314030000.0,444658660.0,3109000000.0,5402232300.0,31708875000.0,1957000000.0,16939790000.0,234781660000.0,696250000.0,1695315300.0,240233540.0,5643868700.0,4735044600.0,4146464500.0,328191900000.0,6327966000.0,10350515000.0,3356692500.0,1083037700.0,357161000.0,2491486700.0,12071775000.0,594387340000.0,1411917600.0,1881847700.0,45949608000.0,426915730000.0,58394444000.0,457388640.0,8206227000.0,2933222700.0,8579755000.0,10621170000.0,6912150500.0,35051065000.0,152966500000.0,478058300.0,11605382000.0,18094238000.0,41855988000.0,5813399600.0,134707180.0,4013091600.0,1284759900.0,10754799000.0,1532411000.0,112537830000.0,1389663100000.0,3713785900.0,5592390700.0,714254300.0,3690329000.0,2141377500000.0,6416104000.0,114608180000.0,10440782000.0,4789220400.0,588309250.0,373573150.0,2257129700.0,4943700500.0,104272510000.0,38730584000.0,7080981500.0,288208060000.0,128026970000.0,119768695000.0,553671940.0,55918540000.0,79314805000.0,1323204300000.0,11152972000.0,3535460000.0,3980703000000.0,5310833000.0,24917354000.0,8209121000.0,19858555000.0,2315347000.0,1127807000.0,5608209000.0,5843579400.0,831029900.0,223500000.0,33887048000.0,7921210400.0,15518703000.0,3714966800.0,2618837800.0,59167550000.0,284875800.0,2830673400.0,3021944600.0,2164298500.0,3267677700.0,363157850000.0,2319243500.0,1317611900.0,838289100.0,33711070000.0,2798696400.0,2411552300.0,3429521700.0,3401211600.0,363497060000.0,2923883300.0,41649828000.0,1792800000.0,3386232600.0,52058180000.0,2436849400.0,130838040000.0,14183615000.0,48884670000.0,8042338000.0,4377980400.0,7157424000.0,35966304000.0,60422330000.0,94337050000.0,107592100000.0,7646153700.0,241276320000.0,2208642400000.0,25121667000.0,460290560000.0,2029027000.0,132303040.0,94861760.0,137087850000.0,7769817600.0,17921892000.0,679941060.0,52131320000.0,15699327000.0,14277261000.0,269034600.0,146956160000.0,355524900000.0,630465360000.0,9703011000.0,674074050.0,277955550.0,7031933400.0,404600000.0,283912180000.0,279921430000.0,13253565000.0,1908554600.0,6681997300.0,111452750000.0,187891500.0,2390796800.0,137066290.0,5439553000.0,15496708000.0,159104780000.0,3200540000.0,2857457700.0,73945910000.0,54239170000.0,1179659500000.0,6520327000000.0,12878149000.0,12953802000.0,209088830.0,60416520000.0,9866991000.0,2843300000.0,17959367000.0,3182811000.0,6751472000.0
1993-01-01,3521418000.0,1185315500.0,49945584000.0,5768720400.0,236741720000.0,1201312800.0,312133900000.0,189634040000.0,1570392600.0,3092000000.0,5913001000.0,33166520000.0,2063342100.0,16275073000.0,224721800000.0,752850000.0,2274558200.0,225973700.0,5734699500.0,3630669000.0,4160129300.0,368292040000.0,6203340000.0,10832065000.0,3199536400.0,938632640.0,490417380.0,2533727500.0,16181814000.0,579053550000.0,1278781300.0,1463251200.0,49287377000.0,444731300000.0,66474103000.0,452881470.0,10707792000.0,2684323600.0,9564816000.0,11259648000.0,6590291000.0,41155654000.0,143111300000.0,466048480.0,13081042000.0,18938718000.0,46578630000.0,6680269300.0,136047900.0,4013091600.0,1357189500.0,9051044000.0,1636101200.0,89112110000.0,1314383300000.0,3544608500.0,4378645000.0,755040960.0,2701181400.0,2078954200000.0,5968923000.0,107295700000.0,11400017000.0,4781166000.0,615779500.0,454101380.0,1878253800.0,4926728700.0,120354210000.0,40124916000.0,6218581500.0,279295660000.0,158006700000.0,63743623000.0,1031944900.0,52417480000.0,79712270000.0,1067412600000.0,11045760000.0,5440076000.0,4536940400000.0,5606400000.0,23409260000.0,5751786500.0,23941392000.0,2026019200.0,1327748700.0,5608209000.0,7941744600.0,835582100.0,160400000.0,30660050000.0,7921210400.0,15925521000.0,4063298800.0,3013392600.0,66894967000.0,322417820.0,2818281000.0,2709194800.0,1847353200.0,3307302100.0,530160780000.0,2371813000.0,768401660.0,838289100.0,31655473000.0,2883161900.0,3163020000.0,3251188700.0,3660041700.0,354070500000.0,2822243800.0,46775620000.0,1756454300.0,3052673800.0,56721050000.0,2682456800.0,120579210000.0,14230429000.0,51810000000.0,8782586000.0,4974550500.0,7249533400.0,34832077000.0,62036530000.0,96043155000.0,95009750000.0,7156593700.0,240096330000.0,2382543000000.0,26361160000.0,435083700000.0,1971525800.0,133122900.0,125742184.0,132967960000.0,7367986000.0,17921892000.0,768868400.0,60603814000.0,16737974000.0,14449298000.0,300746370.0,147194740000.0,392665700000.0,524700580000.0,10338680000.0,684814800.0,286307400.0,8881010000.0,428764700.0,212647050000.0,272237530000.0,13695962000.0,1646623200.0,6182872600.0,128889270000.0,216914400.0,1741944400.0,138489890.0,4669491000.0,14608336000.0,180415760000.0,3179225900.0,3220439000.0,65648560000.0,55625170000.0,1061388750000.0,6858559000000.0,15002137000.0,13099929000.0,200491860.0,60037460000.0,13180954000.0,2843300000.0,21736802000.0,3273507800.0,6563813400.0
1994-01-01,3521418000.0,1880950900.0,42543178000.0,4438321000.0,257440000000.0,1315158700.0,322806640000.0,202738020000.0,1193141100.0,3259000000.0,6330628000.0,33768660000.0,2151345000.0,14931436000.0,244884130000.0,772300000.0,1598075900.0,258954700.0,5981223000.0,1255802500.0,4259259600.0,525369480000.0,6467782700.0,9697417000.0,1895290600.0,925030600.0,406580640.0,2791435300.0,8902446000.0,579944300000.0,851174340.0,1179838000.0,56998600000.0,564321850000.0,81705500000.0,319189200.0,5820383000.0,1769365400.0,10489904000.0,15062912000.0,7425704000.0,48188477000.0,156017920000.0,491689200.0,14644735000.0,22708673000.0,51897983000.0,7679384000.0,100807000.0,4123011300.0,1419294200.0,7100806700.0,1825732100.0,103182700000.0,1385822800000.0,3676124000.0,4190819300.0,746493950.0,2513870600.0,2215282700000.0,5446383600.0,114980060000.0,12983234000.0,4932800500.0,612502100.0,540874940.0,2167569200.0,4642280400.0,135811770000.0,43166680000.0,6389460500.0,327274860000.0,176892150000.0,71841464000.0,3991349200.0,57097654000.0,90576930000.0,1101750200000.0,8313557500.0,5452559000.0,4998797700000.0,6236296000.0,21250793000.0,7148148700.0,24848484000.0,1681780900.0,1543606400.0,5608209000.0,9599128000.0,878250940.0,132200000.0,28610550000.0,7921210400.0,17701798000.0,3522227200.0,1719864700.0,74478354000.0,356014940.0,2081846500.0,2998504400.0,1944876800.0,3606050800.0,553618240000.0,1702314200.0,925817100.0,838289100.0,35604136000.0,2958108200.0,4432257000.0,3666503400.0,4066775600.0,379688220000.0,3038728400.0,55314730000.0,3863185200.0,1938058100.0,80399610000.0,3559608600.0,127131320000.0,14715215000.0,52293472000.0,9365290000.0,5502786000.0,7870982000.0,44882080000.0,73159340000.0,110803630000.0,99688645000.0,7374450700.0,243571150000.0,2502478000000.0,30072805000.0,395077300000.0,753636350.0,221098110.0,131338380.0,135174900000.0,5034588000.0,17921892000.0,911854300.0,73688730000.0,20428140000.0,16400767000.0,402837000.0,153512700000.0,463619820000.0,530183650000.0,11717604000.0,713703700.0,289437020.0,12793799000.0,605492540.0,228701650000.0,301375060000.0,10122020000.0,1522001200.0,6550480400.0,146683770000.0,239040500.0,1387662100.0,195990960.0,4947181600.0,15633175000.0,130650450000.0,2561118700.0,3990430500.0,52549554000.0,59305095000.0,1140489700000.0,7287236000000.0,17474589000.0,12899075000.0,233701300.0,58418668000.0,16286433000.0,2843300000.0,28019485000.0,3656808200.0,6890675000.0
1995-01-01,3521418000.0,2392765000.0,41764290000.0,5538749400.0,258031750000.0,1468317400.0,368166000000.0,240094170000.0,2417331200.0,3429000000.0,6651181000.0,37939750000.0,2216974000.0,13972684000.0,288025580000.0,819050000.0,2169627100.0,290490980.0,6715161600.0,1866572900.0,4730599000.0,769333100000.0,7700144000.0,18991485000.0,2379518000.0,1000428400.0,487149000.0,3441205800.0,10864772000.0,605961060000.0,1115389700.0,1445919900.0,73444835000.0,734484800000.0,92495970000.0,398461800.0,5643439600.0,2116003800.0,11578594000.0,22772394000.0,9933137000.0,60572380000.0,184848480000.0,497723970.0,16637370000.0,24432884000.0,60159246000.0,8921947000.0,141853360.0,4502971000.0,1698989400.0,7855205400.0,1970301400.0,134060460000.0,1595219400000.0,4186994200.0,4958845400.0,785999900.0,2693731800.0,2593053200000.0,6464383000.0,134974610000.0,14655404000.0,5385704000.0,660195400.0,621626800.0,2813313300.0,5347445000.0,144652290000.0,46425678000.0,7123633700.0,360281900000.0,202132030000.0,96419226000.0,12894030000.0,69139825000.0,105307710000.0,1177369400000.0,11000146000.0,6577520600.0,5545563500000.0,6727597000.0,20374303000.0,9046320000.0,27186980000.0,1661147000.0,1763536300.0,5608209000.0,11718795000.0,1001894000.0,134800000.0,25541380000.0,7921210400.0,20853094000.0,3838101000.0,2033701500.0,88705340000.0,398988960.0,2706425000.0,3709361700.0,2091726100.0,4094741800.0,380157460000.0,1752999400.0,1452165000.0,838289100.0,39030284000.0,3061646000.0,5289175000.0,3978514200.0,4401104400.0,452967330000.0,3628440600.0,63918703000.0,4140470000.0,2302537500.0,140919780000.0,4707041300.0,152029610000.0,15722237000.0,60636070000.0,9573813000.0,4636057600.0,9062132000.0,53312795000.0,84644330000.0,142838530000.0,118122004000.0,8137912000.0,273433180000.0,2551929000000.0,37430160000.0,395537200000.0,1293535200.0,224865730.0,103695240.0,143343120000.0,6326342700.0,17921892000.0,870740500.0,87812540000.0,26180022000.0,21367423000.0,469443200.0,171735940000.0,566581000000.0,614170030000.0,13029698000.0,762962940.0,316007400.0,13830370000.0,691590500.0,267052840000.0,352835800000.0,11396706000.0,1231561900.0,7631431700.0,169278910000.0,262819900.0,1849110500.0,208871680.0,5329217500.0,18030877000.0,169319580000.0,2482228500.0,5755819000.0,48213856000.0,65743667000.0,1344240200000.0,7639749000000.0,19297663000.0,13350461000.0,249333250.0,77389490000.0,20736164000.0,3282800000.0,12796345000.0,3806982700.0,7111271000.0
1996-01-01,3521418000.0,3199640800.0,46941553000.0,7526446600.0,272149760000.0,1596969000.0,401341870000.0,235952590000.0,3176507400.0,3609000000.0,6938167000.0,46438486000.0,2363645400.0,14756847000.0,279201450000.0,850850000.0,2361116400.0,303408350.0,7396949000.0,2786045400.0,4847757300.0,850426460000.0,7663377400.0,12294965000.0,2586550500.0,869033860.0,501979260.0,3506695700.0,11093539000.0,630608000000.0,1007791100.0,1607345400.0,78584100000.0,863749340000.0,97153390000.0,396053800.0,5771455000.0,2540697600.0,11678424000.0,24150979000.0,10011914000.0,67804107000.0,187481160000.0,494004640.0,18241622000.0,25226394000.0,67629715000.0,9586328000.0,232463020.0,4786019000.0,1602741900.0,8761216000.0,2128696700.0,131991980000.0,1598889300000.0,4166072800.0,5694040000.0,848239400.0,3094935300.0,2506576600000.0,6932991500.0,142502990000.0,15674836000.0,5641243000.0,702965100.0,705406000.0,2907517700.0,5215028700.0,159718180000.0,46658757000.0,7426082300.0,392896870000.0,227369680000.0,120403935000.0,10433699000.0,75790790000.0,114866710000.0,1314776500000.0,18071153000.0,7393892000.0,4923391500000.0,6927503400.0,21035358000.0,12045865000.0,31492372000.0,1827570600.0,1873671600.0,5799465500.0,13690217000.0,946112500.0,159400000.0,27884616000.0,8430207000.0,20895314000.0,4931861000.0,3319573800.0,100855390000.0,450382340.0,2780422100.0,3822488300.0,2132087000.0,4481490000.0,432157950000.0,1695122200.0,1345719400.0,838289100.0,43161570000.0,4030146000.0,6123557000.0,3989163300.0,4521580500.0,451372550000.0,3606968300.0,70140840000.0,4308352000.0,2405687000.0,185730240000.0,4642021400.0,163520100000.0,17402081000.0,63320170000.0,9197503000.0,5155311000.0,9788391000.0,55252414000.0,94648080000.0,160813020000.0,122630090000.0,9059340000.0,273531010000.0,2767603400000.0,36937073000.0,391724900000.0,1382334800.0,249907870.0,135188160.0,158662480000.0,6559712000.0,23277430000.0,941708900.0,96293085000.0,28197792000.0,21470700000.0,510586430.0,163234920000.0,610167000000.0,642251400000.0,13897738000.0,788888900.0,331488900.0,9018300000.0,861372800.0,291952430000.0,340103950000.0,13789561000.0,1043654850.0,9433528000.0,183035230000.0,306956900.0,2069506000.0,222100540.0,5759570400.0,19587162000.0,181464420000.0,2378760000.0,6044585500.0,44558830000.0,73571240000.0,1419645800000.0,8073122000000.0,20515460000.0,13948892000.0,261370050.0,70543210000.0,24657471000.0,3409600000.0,6496164000.0,3597220900.0,8553146400.0
1997-01-01,3521418000.0,2258514000.0,48177610000.0,7648377300.0,292859000000.0,1639492500.0,435642600000.0,211724810000.0,3962362400.0,6332360000.0,7219408000.0,48244310000.0,2498384100.0,14130586000.0,252708040000.0,873400000.0,2268301600.0,352229100.0,7925737000.0,3671909600.0,5020265500.0,883206200000.0,7793034000.0,11316128000.0,2447669000.0,972896260.0,490608670.0,3443413500.0,10789459000.0,654987000000.0,937741500.0,1544689500.0,85741410000.0,961602000000.0,106656490000.0,364445600.0,6090840600.0,2322719000.0,12614603000.0,24175766000.0,9547816000.0,62539764000.0,173241370000.0,502675550.0,20017450000.0,28162052000.0,78436580000.0,10221706000.0,442337860.0,5154420700.0,1716714100.0,8803540000.0,2090221200.0,126862900000.0,1449392200000.0,3762859000.0,5326817300.0,803633340.0,3510520300.0,2218791000000.0,6891443000.0,138766070000.0,17790026000.0,5516916000.0,698107200.0,749138000.0,3338949000.0,5737100000.0,177353180000.0,47296954000.0,7569672700.0,415867570000.0,215749000000.0,113919164000.0,20764856000.0,82856650000.0,119246040000.0,1244988200000.0,18047558000.0,8400041500.0,4492449000000.0,7245839400.0,22165932000.0,13115765000.0,30350190000.0,1767864000.0,1747011800.0,6349481000.0,15751867000.0,998004300.0,295900000.0,30700898000.0,10168272000.0,19563835000.0,4262965500.0,3875786000.0,100005320000.0,508223600.0,2697106000.0,3787069700.0,2071996500.0,4243755300.0,523449530000.0,1930081200.0,1180934100.0,838289100.0,39147844000.0,4873664000.0,4722288600.0,4154989800.0,4918692000.0,417506200000.0,3291131400.0,66075144000.0,4389973500.0,2290318800.0,200850390000.0,3912986000.0,161356630000.0,18039792000.0,62433340000.0,10058854000.0,4936615400.0,9965226000.0,58147520000.0,94106320000.0,159893960000.0,117016535000.0,11297802000.0,288377670000.0,2955980000000.0,35575214000.0,404928950000.0,1851558100.0,285475600.0,91920270.0,165963680000.0,6041478700.0,27153408000.0,850233200.0,100123790000.0,27844628000.0,20726878000.0,526554020.0,168978060000.0,569755040000.0,589739800000.0,15091914000.0,805925950.0,347770370.0,11681176000.0,926422500.0,268251970000.0,294788200000.0,14505233000.0,921518000.0,11158198000.0,150180460000.0,319972700.0,2116818600.0,214991470.0,5737771500.0,20746211000.0,189878400000.0,2450350600.0,6269333500.0,50151530000.0,78839005000.0,1560912000000.0,8577552000000.0,23969739000.0,14744604000.0,272771200.0,85837680000.0,26843701000.0,3759800000.0,6838298600.0,4303288300.0,8529572000.0
1998-01-01,3521418000.0,2545964500.0,48187780000.0,6506230000.0,298948260000.0,1893726500.0,399674400000.0,217068100000.0,4446369000.0,6833220000.0,7031309000.0,49984560000.0,2817083400.0,15221352000.0,258528350000.0,929500000.0,2455092700.0,363458370.0,8497494500.0,4116774400.0,4790481400.0,863710740000.0,5550846000.0,15031055000.0,2804902400.0,893770750.0,521910560.0,3120425500.0,11298145000.0,634000000000.0,967338400.0,1744794500.0,81990010000.0,1029060760000.0,98486360000.0,370106750.0,6217806300.0,1949481300.0,13684256000.0,25890228000.0,10248619000.0,67187216000.0,176877080000.0,514267870.0,21672215000.0,27981898000.0,84828810000.0,10936670000.0,370687650.0,5674081000.0,1576908800.0,8013274000.0,1653146800.0,133990875000.0,1496906300000.0,3903186700.0,4483417000.0,840285250.0,3613497300.0,2247760300000.0,7482069000.0,139612820000.0,19395492000.0,5232118300.0,591034100.0,717530700.0,3723903700.0,6366340000.0,168885440000.0,48706785000.0,8503693300.0,421351330000.0,95445550000.0,110276910000.0,20617404000.0,90199410000.0,120358030000.0,1272729800000.0,19619656000.0,8787196000.0,4098362700000.0,7912271000.0,22135245000.0,14093999000.0,25943706000.0,1645963800.0,1280177800.0,6974113000.0,17247179000.0,928460860.0,359600000.0,27251302000.0,11289162000.0,20150053000.0,4401967600.0,2547609600.0,72167500000.0,540096400.0,2920358700.0,4010091000.0,2032347600.0,4225814000.0,557461100000.0,1698717600.0,1124440200.0,854261200.0,46497608000.0,5551118300.0,6459461600.0,3873109800.0,4856255000.0,438612530000.0,3556305000.0,56227170000.0,4635347500.0,2643363600.0,218416200000.0,3765745000.0,154230300000.0,16044213000.0,62191956000.0,11019558000.0,3789443000.0,9260482000.0,55501468000.0,74492420000.0,175282270000.0,123946330000.0,10255495000.0,268833470000.0,2921200600000.0,41696092000.0,270955480000.0,1989343500.0,269485250.0,72285400.0,146775470000.0,6505607700.0,21004077000.0,672368200.0,85728210000.0,29976207000.0,22058635000.0,457579840.0,152982980000.0,383331830000.0,618731500000.0,15794973000.0,877407400.0,373618530.0,11250221000.0,1110850000.0,270889570000.0,303459000000.0,15200846000.0,1320199600.0,12172790000.0,113675600000.0,325729800.0,2241650200.0,191504900.0,6043686400.0,21802893000.0,275941980000.0,2605689000.0,6584815600.0,41882520000.0,75674340000.0,1653694900000.0,9062817000000.0,25385888000.0,14988971000.0,262293400.0,91336760000.0,27209603000.0,4067800000.0,6322175500.0,3537741800.0,6401968000.0
1999-01-01,3521418000.0,3212121600.0,48640670000.0,6152923000.0,283523000000.0,1845482100.0,389652220000.0,216421810000.0,4581248500.0,7683870000.0,7528469000.0,51270570000.0,2951822000.0,12138243000.0,258245740000.0,1000250000.0,3677394000.0,399311200.0,8285064000.0,4686256000.0,5484263400.0,599642000000.0,6309070300.0,13627325000.0,3389566700.0,808077250.0,592416700.0,3517242400.0,11565826000.0,678412200000.0,999477500.0,1534673500.0,75578690000.0,1094003850000.0,86278950000.0,382454980.0,4711259600.0,2354773000.0,14254866000.0,23777026000.0,10497908000.0,65586560000.0,177887720000.0,536080160.0,22136580000.0,19645272000.0,90710704000.0,11284197000.0,621117900.0,5756912000.0,1547888500.0,7892973600.0,1936460000.0,135234240000.0,1486915900000.0,3911602000.0,4662992000.0,814724030.0,2800025900.0,2213873500000.0,7718110000.0,137131370000.0,18318412000.0,5046806500.0,579365760.0,694755000.0,4153726000.0,6414520300.0,165768100000.0,49073380000.0,8982048000.0,458821040000.0,140001350000.0,113848450000.0,36881600000.0,98893955000.0,121166500000.0,1255004700000.0,18870993000.0,8887058000.0,4635982000000.0,8149929500.0,16870817000.0,12896010000.0,30122365000.0,1249061500.0,1454430600.0,7324193000.0,17391057000.0,912773700.0,441800000.0,35975860000.0,11022095000.0,21899317000.0,4277904000.0,2584479000.0,79148420000.0,589239740.0,3440724700.0,4111890400.0,1985922800.0,4402193400.0,631249400000.0,1170783000.0,1057408600.0,828950340.0,46266430000.0,6285220000.0,8486832600.0,3868551700.0,5033642500.0,447778520000.0,3647802000.0,58762260000.0,4856026000.0,2537789700.0,59145077000.0,3863619300.0,162383700000.0,17832770000.0,62973858000.0,11660705000.0,3477038000.0,8837070000.0,50187325000.0,85640170000.0,170704450000.0,127470390000.0,12393132000.0,265429290000.0,3090347200000.0,35953156000.0,195907130000.0,2157108200.0,255408060.0,77302210.0,161717060000.0,6592835000.0,20878694000.0,669386600.0,86286850000.0,30496272000.0,22609668000.0,488024500.0,151516950000.0,497514050000.0,634394900000.0,15656328000.0,921851840.0,390718530.0,10682028000.0,886290700.0,274320410000.0,297873640000.0,15873876000.0,1086612400.0,12704334000.0,126669210000.0,225357600.0,2226577200.0,199208700.0,6808982500.0,22943201000.0,256395940000.0,2450564000.0,5998563300.0,31580640000.0,84445470000.0,1687830400000.0,9631172000000.0,23983946000.0,17078466000.0,268006980.0,97972840000.0,28683660000.0,4271200000.0,7639325000.0,3404285000.0,6858013000.0
2000-01-01,3521418000.0,3480355300.0,54790400000.0,9129595000.0,284203750000.0,1911563600.0,416167820000.0,196181600000.0,5272616000.0,8076470000.0,9062899000.0,53369786000.0,3059500000.0,12736780000.0,236792460000.0,1138900000.0,3519991600.0,460733400.0,8397855000.0,5567772700.0,5788329500.0,655448200000.0,6570999300.0,13245990000.0,2968370200.0,870486100.0,539227260.0,3694169000.0,10566579000.0,744773400000.0,916777300.0,1388506800.0,78339750000.0,1211331600000.0,99875080000.0,351136580.0,19088046000.0,3227927800.0,15013630000.0,22134411000.0,9985847000.0,62175640000.0,164043820000.0,551230850.0,24305780000.0,17539455000.0,99838540000.0,11784927000.0,1045998500.0,5686579700.0,1738093800.0,8242349600.0,1678219500.0,125967820000.0,1360959100000.0,3599845400.0,5080484000.0,782913860.0,3057475300.0,1966980700000.0,4982850600.0,125760170000.0,19288928000.0,4367459000.0,391345600.0,712667900.0,6813566000.0,7186638000.0,171668900000.0,47218405000.0,9025660000.0,468395520000.0,165021000000.0,109591710000.0,48364250000.0,100207610000.0,136225020000.0,1149661300000.0,16577534000.0,9005064000.0,4968359000000.0,8460790000.0,18291990000.0,12705350000.0,37718745000.0,1369688400.0,1731198100.0,7761252400.0,17260366000.0,887291700.0,874000000.0,38270956000.0,11550695000.0,21230182000.0,4629247000.0,2537307600.0,93789730000.0,624337150.0,2961485000.0,4036810000.0,1779520900.0,4726108700.0,742061300000.0,1288429400.0,1136896100.0,984293060.0,43017454000.0,5930685400.0,8905066000.0,3922232000.0,5494252000.0,417649300000.0,3420032000.0,52623282000.0,5109587000.0,2241753000.0,69171450000.0,3772859100.0,171457200000.0,22259558000.0,99484800000.0,11966497000.0,3521339600.0,8855706000.0,51744748000.0,83669790000.0,172953530000.0,118605190000.0,17759890000.0,287201660000.0,3377596700000.0,37253740000.0,259710140000.0,2068836700.0,258856140.0,76198390.0,189514940000.0,6013185000.0,7326374000.0,635866430.0,96076540000.0,29215726000.0,20159191000.0,419842700.0,151752750000.0,576179400000.0,598102840000.0,16330814000.0,932592600.0,427946050.0,12257299000.0,947672000.0,262905200000.0,279216030000.0,18937053000.0,860541800.0,13371767000.0,126392220000.0,366924300.0,2106848800.0,204848460.0,8154342000.0,21473528000.0,274294620000.0,2904663300.0,6193246700.0,32375083000.0,104337375000.0,1665534900000.0,10250952000000.0,22823270000.0,13760514000.0,272014620.0,117146470000.0,31172518000.0,4313600000.0,9679317000.0,3600632000.0,6689957400.0
