,year,fdi_net_inflows_current_usd,unemployment_rate_percent_of_total_labor_force,gdp_current_usd,life_expectancy_at_birth_total_years,economic_activity,population_size,total_population,petroleum_energy_production,hydro_electric_energy_production,area,education_years,services_value_added_percent_of_gdp
0,1991,20000000.0,10.304,1099559000.0,73.001,69.088,3266790.0,3266790.0,7.8575172,92.14249,28750.0,4.0,39.77252
1,1992,20000000.0,30.007,652175000.0,73.303,69.788,3247039.0,3247039.0,4.9499116,95.05009,28750.0,4.0,39.77252
2,1993,58000000.0,25.251,1185315500.0,73.638,69.113,3227287.0,3227287.0,6.0923777,93.90762,28750.0,4.0,39.77252
3,1994,53000000.0,20.835,1880950900.0,73.837,68.573,3207536.0,3207536.0,4.313626,95.68637,28750.0,4.0,39.77252
4,1995,70000000.0,14.607,2392765000.0,74.022,67.723,3187784.0,3187784.0,6.013861,93.98614,28750.0,4.0,39.77252
5,1996,90100000.0,13.928,3199640800.0,74.113,67.201,3168033.0,3168033.0,4.2795053,95.7205,28750.0,4.0,39.77252
6,1997,47500000.0,16.872,2258514000.0,73.383,68.174,3148281.0,3148281.0,3.8255546,96.174446,28750.0,4.0,42.31598
7,1998,45010000.0,20.042,2545964500.0,74.357,67.657,3128530.0,3128530.0,3.6797807,96.32022,28750.0,4.0,43.99425
8,1999,41200000.0,20.835,3212121600.0,74.568,66.93,3108778.0,3108778.0,2.6708417,97.329155,28750.0,4.0,46.83404
9,2000,143000000.0,19.023,3480355300.0,74.826,66.624,3089027.0,3089027.0,3.8509836,96.14902,28750.0,4.0,44.302963
10,2001,207300000.0,18.57,3922100700.0,75.083,66.253,3060173.0,3060173.0,4.691689,95.30831,28750.0,4.0,44.94302
11,2002,135000000.0,17.891,4348068400.0,75.299,66.172,3051010.0,3051010.0,6.046014,93.95399,28750.0,4.0,43.776516
12,2003,178036400.0,16.985,5611496400.0,75.557,65.239,3039616.0,3039616.0,2.1434295,97.85657,28750.0,4.0,41.911476
13,2004,341285120.0,16.306,7184685600.0,75.951,64.299,3026939.0,3026939.0,2.4973242,97.50268,28750.0,4.0,42.580418
14,2005,262479000.0,15.966,8052077000.0,76.427,63.36,3011487.0,3011487.0,1.2860554,98.71394,28750.0,4.0,43.554478
15,2006,325138300.0,15.626,8896075000.0,76.994,62.426,2992547.0,2992547.0,1.6835626,98.31644,28750.0,4.0,43.523407
16,2007,652275600.0,15.966,10677325000.0,77.691,61.484,2970017.0,2970017.0,2.5174825,97.48252,28750.0,4.0,44.639824
17,2008,1247181700.0,13.06,12881353000.0,78.248,60.521,2947314.0,2947314.0,0.0,100.0,28750.0,4.0,44.69915
18,2009,1345415300.0,13.674,12044205000.0,78.509,62.932,2927519.0,2927519.0,0.019223375,99.980774,28750.0,5.0,45.31722
19,2010,1089898200.0,14.086,11926926000.0,78.414,63.348,2913021.0,2913021.0,0.013213531,99.986786,28750.0,5.0,44.02559
20,2011,1048706700.0,13.481,12890760000.0,78.303,68.097,2905195.0,2905195.0,1.4077786,98.592224,28750.0,5.0,44.25637
21,2012,917994560.0,13.376,12319834000.0,78.084,64.417,2900401.0,2900401.0,0.0,100.0,28750.0,5.0,44.954685
22,2013,1254150500.0,15.866,12776225000.0,77.995,59.711,2895092.0,2895092.0,0.0,100.0,28750.0,5.0,44.60699
23,2014,1149928000.0,18.055,13228148000.0,78.029,61.319,2889104.0,2889104.0,0.0,100.0,28750.0,5.0,45.78239
24,2015,989578300.0,17.193,11386853000.0,78.358,64.087,2880703.0,2880703.0,0.0,100.0,28750.0,5.0,46.284443
25,2016,1044389570.0,15.418,11861200000.0,78.643,66.179,2876101.0,2876101.0,0.0,100.0,28750.0,5.0,46.69717
26,2017,1022757900.0,13.616,13019726000.0,78.9,66.919,2873457.0,2873457.0,0.0,99.95581,28750.0,5.0,47.969555
27,2018,1204383400.0,12.304,15379510000.0,79.238,68.305,2866376.0,2866376.0,0.0,99.98831,28750.0,5.0,44.397022
28,2019,1201022200.0,11.466,15585105000.0,79.467,69.661,2854191.0,2854191.0,0.0,99.558205,28750.0,5.0,45.45343
29,2020,1069744900.0,11.69,15241459000.0,77.824,67.153,2837849.0,2837849.0,0.0,99.37888,28750.0,5.0,45.72135
30,2021,1218586500.0,11.474,18032011000.0,76.844,68.57,2811666.0,2811666.0,0.0,99.54251,28750.0,5.0,45.243843
31,2022,1441381900.0,10.137,19017243000.0,78.769,70.893,2777689.0,2777689.0,0.0,97.70066,28750.0,5.0,46.209408
32,2023,1620982500.0,10.108,23547180000.0,79.602,71.301,2745972.0,2745972.0,0.0,97.70066,28750.0,5.0,47.95748
33,2024,1620982500.0,10.25,23547180000.0,79.602,72.028,2745972.0,2745972.0,0.0,97.70066,28750.0,5.0,47.95748
