,year,fdi_net_inflows_current_usd,unemployment_rate_percent_of_total_labor_force,gdp_current_usd,life_expectancy_at_birth_total_years,economic_activity,population_size,total_population,petroleum_energy_production,hydro_electric_energy_production,area,education_years,services_value_added_percent_of_gdp
0,1991,2439000000.0,5.44,189719990000.0,72.02,66.295,33230294.0,33230294.0,14.42522,38.19434,2780400.0,7.0,60.5612
1,1992,4430977500.0,6.36,228778920000.0,72.096,67.22,33693530.0,33693530.0,12.935474,43.68017,2780400.0,7.0,63.32522
2,1993,2793085400.0,10.1,236741720000.0,72.303,68.171,34152716.0,34152716.0,10.106658,48.80252,2780400.0,7.0,61.056896
3,1994,3634932000.0,11.76,257440000000.0,72.732,68.821,34613492.0,34613492.0,7.40927,52.695248,2780400.0,7.0,61.590794
4,1995,5609423400.0,18.8,258031750000.0,72.864,68.326,35070020.0,35070020.0,4.900195,50.22849,2780400.0,7.0,62.26378
5,1996,6948537000.0,17.11,272149760000.0,73.056,68.931,35513790.0,35513790.0,5.128132,41.179844,2780400.0,7.0,61.350994
6,1997,9160272000.0,14.82,292859000000.0,73.407,69.861,35947790.0,35947790.0,3.3873749,48.614006,2780400.0,7.0,60.84928
7,1998,7290657300.0,12.65,298948260000.0,73.412,70.251,36372860.0,36372860.0,5.014626,44.822937,2780400.0,6.0,61.539684
8,1999,23987696000.0,14.05,283523000000.0,73.683,69.675,36794680.0,36794680.0,4.809371,33.551678,2780400.0,6.0,63.487732
9,2000,10418314000.0,15.0,284203750000.0,73.91,69.45,37213984.0,37213984.0,3.2889857,40.510597,2780400.0,6.0,63.469315
10,2001,2166136800.0,17.32,268696750000.0,74.154,68.732,37624824.0,37624824.0,1.5517892,51.36877,2780400.0,6.0,65.08126
11,2002,2148910000.0,19.59,97724010000.0,74.312,67.063,38029348.0,38029348.0,1.1819632,53.03469,2780400.0,6.0,54.776447
12,2003,1652010000.0,15.36,127586976000.0,74.307,68.085,38424280.0,38424280.0,1.4868152,45.947914,2780400.0,6.0,51.031693
13,2004,4124710000.0,13.522,164657940000.0,74.871,69.127,38815916.0,38815916.0,4.524377,38.05682,2780400.0,6.0,47.836987
14,2005,5265250000.0,11.506,198737100000.0,75.231,68.458,39216788.0,39216788.0,5.2349935,40.500526,2780400.0,6.0,48.486145
15,2006,5537347600.0,10.078,232557260000.0,75.279,68.826,39622116.0,39622116.0,6.6288214,42.051586,2780400.0,6.0,48.749134
16,2007,6473157600.0,8.47,287530520000.0,74.783,68.282,40016764.0,40016764.0,10.346559,34.85138,2780400.0,6.0,49.50833
17,2008,9725553000.0,7.837,361558050000.0,75.428,67.727,40424148.0,40424148.0,11.005766,32.345585,2780400.0,6.0,50.25519
18,2009,4017159000.0,8.645,332976500000.0,75.577,68.086,40854830.0,40854830.0,8.554288,35.953182,2780400.0,6.0,53.306
19,2010,11332719000.0,7.714,423627420000.0,75.68,67.539,41288696.0,41288696.0,13.264294,33.630917,2780400.0,6.0,51.495182
20,2011,10839931000.0,7.18,530158130000.0,76.1,68.14,41730660.0,41730660.0,15.017837,30.79703,2780400.0,6.0,51.8119
21,2012,15323934000.0,7.217,545982380000.0,75.802,68.063,42161720.0,42161720.0,14.384307,27.305267,2780400.0,6.0,53.65812
22,2013,9821662000.0,7.1,552025100000.0,75.829,67.663,42582456.0,42582456.0,14.363255,29.880186,2780400.0,6.0,53.919094
23,2014,5065335300.0,7.268,526319680000.0,76.268,66.942,43024070.0,43024070.0,13.482854,29.895508,2780400.0,6.0,52.940544
24,2015,11758994000.0,7.579,594749300000.0,76.6,66.771,43477012.0,43477012.0,15.172537,28.22334,2780400.0,6.0,55.8149
25,2016,3260164400.0,8.085,557532300000.0,76.105,66.599,43900310.0,43900310.0,14.062628,25.67586,2780400.0,6.0,56.122234
26,2017,11516861000.0,8.347,643628400000.0,76.543,66.422,44288896.0,44288896.0,8.007195,27.616653,2780400.0,6.0,57.349937
27,2018,11716770000.0,9.22,524819900000.0,76.77,67.403,44654880.0,44654880.0,4.6389647,27.730246,2780400.0,6.0,56.36975
28,2019,6649188000.0,9.843,447754700000.0,76.847,68.122,44973464.0,44973464.0,2.4692774,25.006628,2780400.0,6.0,55.438816
29,2020,4884128000.0,11.461,385740500000.0,75.878,63.716,45191964.0,45191964.0,4.672364,21.089268,2780400.0,6.0,54.85787
30,2021,6658049500.0,8.736,486564070000.0,73.948,68.759,45312280.0,45312280.0,8.021987,16.47419,2780400.0,6.0,52.83403
31,2022,15200600000.0,6.805,632790060000.0,75.806,70.054,45407904.0,45407904.0,10.340898,20.24031,2780400.0,6.0,53.511642
32,2023,23866140000.0,6.139,646075250000.0,77.395,70.886,45538400.0,45538400.0,10.340898,20.24031,2780400.0,6.0,53.148693
33,2024,23866140000.0,7.876,646075250000.0,77.395,70.901,45538400.0,45538400.0,10.340898,20.24031,2780400.0,6.0,53.148693
