,year,fdi_net_inflows_current_usd,unemployment_rate_percent_of_total_labor_force,gdp_current_usd,life_expectancy_at_birth_total_years,economic_activity,population_size,total_population,petroleum_energy_production,hydro_electric_energy_production,area,education_years,services_value_added_percent_of_gdp
0,1991,1103000000.0,6.894,342534100000.0,66.203,67.852,151724260.0,151724260.0,2.1742747,92.919525,8515770.0,4.0,60.549713
1,1992,2061000000.0,7.086,328191900000.0,66.539,68.235,154275070.0,154275070.0,2.5817847,92.392815,8515770.0,4.0,68.35745
2,1993,1292000000.0,6.03,368292040000.0,66.892,68.602,156794580.0,156794580.0,2.4299934,93.28864,8515770.0,4.0,73.33788
3,1994,3072000000.0,6.578,525369480000.0,67.293,68.951,159265010.0,159265010.0,2.4549975,93.33336,8515770.0,4.0,56.894344
4,1995,4859000000.0,7.092,769333100000.0,67.701,69.284,161735070.0,161735070.0,2.7216883,92.12775,8515770.0,4.0,58.121418
5,1996,12552000000.0,8.035,850426460000.0,68.108,67.64,164202540.0,164202540.0,3.178407,91.242386,8515770.0,4.0,60.31888
6,1997,18992935000.0,9.003,883206200000.0,68.505,68.525,166661660.0,166661660.0,3.2131748,90.58062,8515770.0,4.0,60.605713
7,1998,28855610000.0,10.15,863710740000.0,68.848,68.715,169159650.0,169159650.0,3.4582965,90.58922,8515770.0,4.0,61.11859
8,1999,28385675000.0,11.125,599642000000.0,69.211,69.5,171641540.0,171641540.0,4.9355273,87.536896,8515770.0,4.0,60.203655
9,2000,32994718000.0,10.889,655448200000.0,69.584,69.657,174018290.0,174018290.0,4.3475394,87.24399,8515770.0,4.0,58.25186
10,2001,23225846000.0,10.649,559983600000.0,69.98,69.803,176301200.0,176301200.0,4.8151035,81.54322,8515770.0,4.0,57.71369
11,2002,16586600000.0,10.641,509795270000.0,70.396,70.876,178503490.0,178503490.0,3.887801,82.764244,8515770.0,4.0,57.348145
12,2003,10123014000.0,11.168,558233750000.0,70.884,70.869,180622690.0,180622690.0,2.9519212,83.88232,8515770.0,4.0,56.357826
13,2004,18161381000.0,10.072,669289400000.0,71.361,71.501,182675140.0,182675140.0,3.130186,82.796364,8515770.0,4.0,54.92047
14,2005,15459981000.0,10.551,891633860000.0,71.832,72.298,184688100.0,184688100.0,2.8975294,83.72937,8515770.0,4.0,56.075893
15,2006,19418085000.0,9.692,1107626600000.0,72.296,71.954,186653100.0,186653100.0,2.9508486,83.180115,8515770.0,4.0,57.138126
16,2007,44579490000.0,9.28,1397114500000.0,72.73,71.731,188552320.0,188552320.0,2.9951904,84.02056,8515770.0,4.0,57.726234
17,2008,50716400000.0,8.268,1695855100000.0,73.111,71.699,190367300.0,190367300.0,3.790812,79.80616,8515770.0,4.0,56.804863
18,2009,31480932000.0,9.419,1666996500000.0,73.457,72.128,192079950.0,192079950.0,3.140601,83.881226,8515770.0,4.0,59.145058
19,2010,82389930000.0,8.422,2208837700000.0,73.779,71.02,193701940.0,193701940.0,3.1151047,78.20028,8515770.0,5.0,57.612923
20,2011,102427230000.0,7.578,2616156200000.0,74.047,69.893,195284740.0,195284740.0,2.7448628,80.550514,8515770.0,5.0,57.56817
21,2012,92568390000.0,7.251,2465227900000.0,74.335,69.52,196876110.0,196876110.0,3.4728396,75.18849,8515770.0,5.0,58.7336
22,2013,75211030000.0,7.071,2472819600000.0,74.609,69.608,198478300.0,198478300.0,4.588517,68.49439,8515770.0,5.0,59.678757
23,2014,87713980000.0,6.755,2456043700000.0,74.823,69.534,200085120.0,200085120.0,6.299811,62.63065,8515770.0,5.0,61.250973
24,2015,64738152000.0,8.538,1802212200000.0,75.106,69.982,201675540.0,201675540.0,5.2678514,61.33715,8515770.0,5.0,62.30787
25,2016,74294624000.0,11.58,1795693500000.0,75.081,70.248,203218110.0,203218110.0,2.8061836,65.18118,8515770.0,5.0,63.203697
26,2017,68885490000.0,12.792,2063515000000.0,75.383,70.669,204703440.0,204703440.0,2.8470013,62.277065,8515770.0,5.0,63.338673
27,2018,78183840000.0,12.329,1916933900000.0,75.633,70.814,206107260.0,206107260.0,2.2546003,64.05946,8515770.0,5.0,62.65335
28,2019,69174410000.0,11.936,1873288200000.0,75.809,71.417,207455460.0,207455460.0,1.8649926,62.85259,8515770.0,5.0,63.06785
29,2020,38270116000.0,13.697,1476107200000.0,74.506,67.016,208660850.0,208660850.0,1.945404,63.0413,8515770.0,5.0,61.448444
30,2021,46440505000.0,13.158,1670647400000.0,73.038,69.505,209550290.0,209550290.0,3.1116781,55.298435,8515770.0,5.0,56.913383
31,2022,74606360000.0,9.231,1951924000000.0,74.872,70.743,210306420.0,210306420.0,1.5210276,63.054516,8510418.0,5.0,58.08723
32,2023,62441880000.0,7.947,2173665700000.0,75.848,70.266,211140740.0,211140740.0,1.283642,60.20328,8510418.0,5.0,58.880184
33,2024,71069840000.0,7.634,2173665700000.0,75.848,70.325,211140740.0,211140740.0,1.283642,60.20328,8510418.0,5.0,58.880184
