,year,fdi_net_inflows_current_usd,unemployment_rate_percent_of_total_labor_force,gdp_current_usd,life_expectancy_at_birth_total_years,economic_activity,population_size,total_population,petroleum_energy_production,hydro_electric_energy_production,area,education_years,services_value_added_percent_of_gdp
0,1991,1133072300.0,7.525123,144929240000.0,64.669754,65.80724,43168124.0,43168124.0,31.900707,34.877407,1049376.6,5.541899,47.774017
1,1992,1195492500.0,7.9177012,154544010000.0,64.68766,65.81488,43970984.0,43970984.0,31.806992,34.70157,1049377.0,5.536313,48.309483
2,1993,1454655200.0,8.370427,157786160000.0,64.77006,65.81935,44762820.0,44762820.0,30.708035,35.63208,1048063.6,5.536313,48.659016
3,1994,1770961000.0,8.515178,169350760000.0,64.88105,65.924484,45534144.0,45534144.0,30.62287,35.559013,1047986.3,5.541899,48.505886
4,1995,2271571700.0,8.544452,187503850000.0,65.25486,65.96606,46308710.0,46308710.0,30.671059,35.031994,1047986.5,5.5530725,48.83898
5,1996,2604350500.0,8.691601,192641990000.0,65.52944,65.964714,47103264.0,47103264.0,30.173864,34.940735,1047986.94,5.575419,48.6242
6,1997,3341655300.0,8.557247,193104460000.0,65.73312,65.97969,47897424.0,47897424.0,30.664923,33.941086,1047986.94,5.625698,49.248596
7,1998,4729441000.0,8.596193,192562250000.0,65.90686,66.025604,48688704.0,48688704.0,30.995623,33.465202,1047682.75,5.603352,50.09137
8,1999,7051066000.0,8.718879,199142880000.0,66.2017,66.02007,49473300.0,49473300.0,30.655794,33.35868,1047682.75,5.6145253,50.00279
9,2000,8893832000.0,8.586073,206868970000.0,66.646965,65.93525,50253440.0,50253440.0,30.048893,32.74288,1047633.0,5.6145253,50.21094
10,2001,5349990400.0,8.603391,205533640000.0,66.9754,65.86315,51033830.0,51033830.0,29.653149,32.16118,1047635.1,5.620112,51.08515
11,2002,4431565000.0,8.775452,212175080000.0,67.28985,65.79544,51804640.0,51804640.0,29.281973,31.885347,1047637.56,5.620112,51.38828
12,2003,4259097900.0,8.7683325,238275720000.0,67.58078,65.806175,52573464.0,52573464.0,28.56038,31.796988,1047640.1,5.6089387,51.424984
13,2004,5856676400.0,8.587991,269525160000.0,67.93084,65.80897,53353788.0,53353788.0,28.443165,31.505156,1048178.3,5.6368713,51.11356
14,2005,9308807000.0,8.334769,293987800000.0,68.286194,65.82714,54134624.0,54134624.0,28.000854,31.302372,1048189.3,5.653631,51.022385
15,2006,12574567000.0,7.893681,320452500000.0,68.64898,65.873405,54924944.0,54924944.0,27.822948,30.811855,1048190.94,5.653631,51.260666
16,2007,17827270000.0,7.490357,363158540000.0,68.99799,65.91139,55719380.0,55719380.0,27.884188,30.382647,1048191.1,5.687151,51.602066
17,2008,14335859000.0,7.3990135,400108900000.0,69.33427,65.8652,56522710.0,56522710.0,27.157051,30.637913,1049305.6,5.687151,51.491436
18,2009,8803325000.0,8.194206,380068560000.0,69.52268,65.77776,57330450.0,57330450.0,26.815605,30.586782,1049295.6,5.687151,53.717316
19,2010,10716043000.0,8.345031,421414140000.0,70.01074,65.71999,58131332.0,58131332.0,25.655724,31.280481,1049297.2,5.698324,53.252666
20,2011,13851428000.0,8.259299,469512800000.0,70.47342,65.86753,58944250.0,58944250.0,25.980133,29.953726,1049300.0,5.7150836,52.8778
21,2012,12029763000.0,8.311339,481002100000.0,70.76474,66.02063,59776996.0,59776996.0,25.782228,29.90966,1045902.06,5.709497,53.37328
22,2013,12511089000.0,8.324678,493781480000.0,71.07283,66.05619,60608516.0,60608516.0,24.963392,30.334148,1047872.8,5.7150836,53.918148
23,2014,11579100000.0,8.16331,507683200000.0,71.304726,66.12195,61428576.0,61428576.0,25.374073,29.37482,1047850.2,5.7318435,54.432632
24,2015,15655028000.0,8.090579,480151300000.0,71.56592,66.26748,62248430.0,62248430.0,24.840302,27.986584,1047934.06,5.7318435,55.74017
25,2016,15926074000.0,7.9389095,488252300000.0,71.83938,66.35724,63062000.0,63062000.0,24.32155,27.903658,1047940.75,5.7318435,56.087063
26,2017,13352263000.0,7.686153,521635270000.0,72.066956,66.39383,63862016.0,63862016.0,23.011143,27.94944,1047979.44,5.7318435,55.600025
27,2018,7765494000.0,7.420046,551390350000.0,72.36049,66.51939,64643348.0,64643348.0,21.855387,28.422676,1047976.1,5.72067,55.301697
28,2019,11771056000.0,7.2731905,559596630000.0,72.47954,66.67662,65415856.0,65415856.0,21.422966,27.079668,1049109.2,5.72067,55.68749
29,2020,7599101400.0,8.357717,541114340000.0,71.929886,65.39279,66184910.0,66184910.0,20.285028,27.716516,1049080.4,5.703911,56.316345
30,2021,14885029000.0,8.065601,618552700000.0,71.15277,65.963745,66849130.0,66849130.0,20.095518,27.948982,1049047.6,5.703911,54.470936
31,2022,11596046000.0,7.2224264,648420260000.0,72.56915,66.64909,67551420.0,67551420.0,20.27754,27.51959,1048861.1,5.703911,53.75791
32,2023,5552446500.0,6.97126,677509700000.0,73.314804,66.78108,68276070.0,68276070.0,20.204382,27.64994,1048861.1,5.698324,54.891308
33,2024,5615381000.0,6.939905,677509700000.0,73.314804,66.8003,68276070.0,68276070.0,20.204382,27.64994,1048861.1,5.698324,54.891308
